lat prs camp flt x yday
65 350 24 2 0.2356357 117
75 350 24 2 0.1129813 117
35 450 24 2 0.1373896 116
45 450 24 2 0.179875 117
55 450 24 2 -0.1746764 117
65 450 24 2 0.1634771 117
75 450 24 2 0.09835 117
35 550 24 2 0.3003423 116
45 550 24 2 0.2272848 117
55 550 24 2 -0.1080566 117
65 550 24 2 0.2746222 117
75 550 24 2 0.1149462 117
35 650 24 2 0.1437824 116.1818
45 650 24 2 0.1655813 117
55 650 24 2 -0.1306042 117
65 650 24 2 0.2615793 117
75 650 24 2 0.05052222 117
35 750 24 2 0.3637489 116.3191
45 750 24 2 0.08908667 117
55 750 24 2 -0.1216357 117
65 750 24 2 0.2376471 117
75 750 24 2 0.1005776 117
35 850 24 2 0.4581263 116.0526
45 850 24 2 0.21735 117
55 850 24 2 -0.1474237 117
65 850 24 2 0.2890128 117
75 850 24 2 0.2116227 117
35 950 24 2 0.4889268 116
45 950 24 2 0.2286879 117
55 950 24 2 -0.1754486 117
65 950 24 2 0.344117 117
75 950 24 2 0.1264431 117
25 350 21 3 0.4803062 216
35 350 21 3 -0.00640162 216
45 350 21 3 0.2539376 216
55 350 21 3 0.2127601 216
65 350 21 3 -0.08197372 216
25 450 21 3 0.3943516 216
35 450 21 3 0.1226924 216
45 450 21 3 0.331719 216
55 450 21 3 0.4618708 216
65 450 21 3 0.2588881 216
25 550 21 3 0.2585706 216
35 550 21 3 -0.004189815 216
45 550 21 3 0.3905929 216
55 550 21 3 0.2989491 216
65 550 21 3 0.2533901 216
25 650 21 3 0.2913849 216
35 650 21 3 0.05427836 216
45 650 21 3 0.5650655 216
55 650 21 3 0.1948251 216
65 650 21 3 0.1220059 216
25 750 21 3 0.5779271 216
35 750 21 3 0.04316169 216
45 750 21 3 0.4420529 216
55 750 21 3 0.07121319 216
65 750 21 3 0.3073794 216
35 850 21 3 0.08091072 216
45 850 21 3 0.4294805 216
55 850 21 3 0.2852841 216
65 850 21 3 0.5971024 216
35 950 21 3 0.01206757 216
45 950 21 3 0.5103921 216
55 950 21 3 0.3272323 216
65 950 21 3 NaN 216
25 350 22 3 0.7938778 32
35 350 22 3 0.5679227 32
45 350 22 3 0.4768757 32
55 350 22 3 0.4295625 32
65 350 22 3 0.3047678 32
25 450 22 3 0.7406826 32
35 450 22 3 0.472481 32
45 450 22 3 0.55396 32
55 450 22 3 0.2118264 32
65 450 22 3 0.7324615 32
25 550 22 3 0.6084765 32
35 550 22 3 0.4960942 32
45 550 22 3 0.6228245 32
55 550 22 3 0.2567812 32
65 550 22 3 0.604641 32
25 650 22 3 0.5332439 32
35 650 22 3 0.3708803 32
45 650 22 3 0.5275527 32
55 650 22 3 0.05919601 32
65 650 22 3 0.5171122 32
15 750 22 3 0.8064207 32
25 750 22 3 0.6920176 32
35 750 22 3 0.24384 32
45 750 22 3 0.3547943 32
55 750 22 3 0.01302991 32
65 750 22 3 0.5579988 32
15 850 22 3 1.06171 32
25 850 22 3 0.4927677 32
35 850 22 3 0.04321626 32
45 850 22 3 0.2386037 32
55 850 22 3 -0.02036574 32
65 850 22 3 0.5786357 32
15 950 22 3 1.071189 32
25 950 22 3 0.4107128 32
35 950 22 3 0.1310478 32
45 950 22 3 0.09285728 32
55 950 22 3 -0.1514319 32
65 950 22 3 NaN 32
25 350 23 3 0.2516887 277
35 350 23 3 0.2460558 277
45 350 23 3 0.3458675 277
55 350 23 3 0.4851713 277
65 350 23 3 0.2409032 277
25 450 23 3 0.8227594 277
35 450 23 3 0.1735522 277
45 450 23 3 0.365988 277
55 450 23 3 0.5280441 277
65 450 23 3 0.4893 277
25 550 23 3 0.4850323 277
35 550 23 3 0.2692483 277
45 550 23 3 0.3253111 277
55 550 23 3 0.4293955 277
25 650 23 3 0.4932775 277
35 650 23 3 0.17855 277
45 650 23 3 0.26885 277
55 650 23 3 0.3338053 277
25 750 23 3 0.5358152 277
35 750 23 3 0.258708 277
45 750 23 3 0.2825067 277
55 750 23 3 0.2130302 277
25 850 23 3 0.4867655 277
35 850 23 3 0.05498519 277
45 850 23 3 0.3191893 277
55 850 23 3 0.2246167 277
25 950 23 3 -0.0829 277
35 950 23 3 0.1175703 277
45 950 23 3 0.1842644 277
55 950 23 3 0.1888304 277
25 350 24 3 0.3240569 119
35 350 24 3 0.1945219 119
45 350 24 3 0.2375929 119
55 350 24 3 0.1397431 119
65 350 24 3 0.05698125 119
25 450 24 3 0.2864294 119
35 450 24 3 0.1653173 119
45 450 24 3 0.3214452 119
55 450 24 3 0.1848082 119
65 450 24 3 0.04771818 119
25 550 24 3 0.4546778 119
35 550 24 3 0.2226143 119
45 550 24 3 0.2386713 119
55 550 24 3 0.1753698 119
65 550 24 3 -0.0138 119
25 650 24 3 0.2869106 119
35 650 24 3 0.1881758 119
45 650 24 3 0.2664739 119
55 650 24 3 0.1627625 119
65 650 24 3 0.03190769 119
25 750 24 3 0.3489714 119
35 750 24 3 0.1712458 119
45 750 24 3 0.1308086 119
55 750 24 3 0.1726489 119
25 850 24 3 0.3330189 119
35 850 24 3 -0.01432308 119
45 850 24 3 0.1327833 119
55 850 24 3 0.2572158 119
15 950 24 3 0.524685 119
25 950 24 3 0.1894717 119
35 950 24 3 0.1423314 119
45 950 24 3 0.2997654 119
55 950 24 3 0.2946231 119
-15 350 21 4 0.4492497 219
-5 350 21 4 0.1274627 219
5 350 21 4 0.1733794 219
15 350 21 4 NaN 219
-15 450 21 4 0.378357 219
-5 450 21 4 0.02361967 219
5 450 21 4 0.2982788 219
15 450 21 4 NaN 219
-15 550 21 4 0.1460539 219
-5 550 21 4 0.03017989 219
5 550 21 4 0.153133 219
15 550 21 4 0.4170833 219
-15 650 21 4 0.2966609 219
-5 650 21 4 -0.001791591 219
5 650 21 4 0.2202946 219
15 650 21 4 0.1423717 219
-15 750 21 4 0.1998276 219
-5 750 21 4 0.1160645 219
5 750 21 4 0.04350745 219
15 750 21 4 0.4377067 219
-15 850 21 4 0.2157842 219
-5 850 21 4 0.05047504 219
5 850 21 4 0.0102622 219
15 850 21 4 NaN 218.9853
-15 950 21 4 0.2976309 219
-5 950 21 4 0.008201723 219
5 950 21 4 0.1319621 219
15 950 21 4 0.2033607 218.9182
-15 350 22 4 0.6515603 34
-5 350 22 4 0.5791142 34
5 350 22 4 0.1196668 34
15 350 22 4 0.678103 34
-15 450 22 4 0.6387111 34
-5 450 22 4 0.5094123 34
5 450 22 4 0.09838301 34
15 450 22 4 0.6121378 34
-15 550 22 4 0.5884844 34
-5 550 22 4 0.5745045 34
5 550 22 4 0.0578766 34
15 550 22 4 0.6605864 34
-15 650 22 4 NaN 34
-5 650 22 4 0.550507 34
5 650 22 4 -0.01270342 34
15 650 22 4 0.5261907 34
-15 750 22 4 0.6167773 34
-5 750 22 4 0.4204436 34
5 750 22 4 0.07913161 34
15 750 22 4 0.3228864 34
-15 850 22 4 0.3878111 34
-5 850 22 4 0.5343294 34
5 850 22 4 0.03908025 34
15 850 22 4 0.3870034 34
-15 950 22 4 0.3566735 34
-5 950 22 4 0.3534201 34
5 950 22 4 0.06954315 34
15 950 22 4 0.3792629 34
-15 350 23 4 0.6046289 279
-5 350 23 4 0.4392233 279
5 350 23 4 0.241996 279
15 350 23 4 0.2445238 279
-15 450 23 4 0.5623459 279
-5 450 23 4 0.5347091 279
5 450 23 4 0.2210655 279
15 450 23 4 0.299583 279
-15 550 23 4 0.6482233 279
-5 550 23 4 0.4223245 279
5 550 23 4 0.1810547 279
15 550 23 4 0.2610569 279
-15 650 23 4 0.6636682 279
-5 650 23 4 0.3252882 279
5 650 23 4 0.185866 279
15 650 23 4 0.2783796 279
-15 750 23 4 0.7789057 279
-5 750 23 4 0.3004393 279
5 750 23 4 0.2134275 279
15 750 23 4 0.2205785 279
-15 850 23 4 0.8239417 279
-5 850 23 4 0.3415806 279
5 850 23 4 0.1093588 279
15 850 23 4 0.3105118 279
-15 950 23 4 0.5130382 279
-5 950 23 4 0.2155241 279
5 950 23 4 0.08698065 279
15 950 23 4 0.1990917 279
-15 350 24 4 0.2210129 121
-5 350 24 4 -0.01528235 121
5 350 24 4 0.2512229 121
15 350 24 4 0.4413201 121
-15 450 24 4 0.39983 121
-5 450 24 4 0.1596296 121
5 450 24 4 0.3064086 121
15 450 24 4 0.501284 121
-15 550 24 4 0.6384356 121
-5 550 24 4 0.2879808 121
5 550 24 4 0.3296667 121
15 550 24 4 0.5011812 121
-15 650 24 4 0.6647471 121
-5 650 24 4 0.314193 121
5 650 24 4 0.3985571 121
15 650 24 4 0.5557486 121
-15 750 24 4 0.7165868 121
-5 750 24 4 0.4032949 121
5 750 24 4 0.4586833 121
15 750 24 4 0.6187808 121
-15 850 24 4 0.8650286 121
-5 850 24 4 0.3594282 121
5 850 24 4 0.3400125 121
15 850 24 4 0.7015545 121
-15 950 24 4 0.7023864 121
-5 950 24 4 0.1832524 121
5 950 24 4 0.3859245 121
15 950 24 4 0.6762189 121
-45 350 21 5 0.02209828 221
-35 350 21 5 -0.06891151 221
-25 350 21 5 NaN 221
-15 350 21 5 0.3632462 221
-45 450 21 5 -0.03364218 221
-35 450 21 5 -0.1253599 221
-25 450 21 5 NaN 221
-15 450 21 5 0.4807691 221
-45 550 21 5 0.1732586 221
-35 550 21 5 -0.1764364 221
-25 550 21 5 NaN 221
-15 550 21 5 0.5527409 221
-45 650 21 5 0.188611 221
-35 650 21 5 -0.1249823 221
-25 650 21 5 0.4725636 221
-15 650 21 5 0.3198737 221
-45 750 21 5 0.04780222 221
-35 750 21 5 -0.2526178 221
-25 750 21 5 0.262214 221
-15 750 21 5 0.3506081 221
-45 850 21 5 -0.2699217 221
-35 850 21 5 -0.2296488 221
-25 850 21 5 0.3371987 221
-15 850 21 5 0.5122191 221
-45 950 21 5 NaN 221
-35 950 21 5 -0.1112636 221
-25 950 21 5 0.2903543 221
-15 950 21 5 NaN 221
-55 350 22 5 0.2247294 36
-45 350 22 5 0.7850726 36
-35 350 22 5 0.01502613 36
-25 350 22 5 0.2523065 36
-15 350 22 5 0.4321394 36
-55 450 22 5 0.1285276 36
-45 450 22 5 0.8645756 36
-35 450 22 5 0.08804706 36
-25 450 22 5 0.2813104 36
-15 450 22 5 0.7813286 36
-55 550 22 5 0.1840962 36
-45 550 22 5 0.8317222 36
-35 550 22 5 0.1764142 36
-25 550 22 5 0.09127535 36
-15 550 22 5 1.088477 36
-55 650 22 5 0.1914647 36
-45 650 22 5 1.04957 36
-35 650 22 5 0.1431434 36
-25 650 22 5 0.1092243 36
-15 650 22 5 0.955736 36
-55 750 22 5 0.1367906 36
-45 750 22 5 0.7707328 36
-35 750 22 5 0.1845024 36
-25 750 22 5 0.1838093 36
-15 750 22 5 1.001921 36
-55 850 22 5 -0.1757209 36
-45 850 22 5 0.7717792 36
-35 850 22 5 0.07317164 36
-25 850 22 5 0.09623158 36
-15 850 22 5 0.83415 36
-55 950 22 5 -0.3835601 36
-45 950 22 5 0.7255252 36
-35 950 22 5 0.1487239 36
-25 950 22 5 0.1175688 36
-55 350 23 5 0.2036777 281
-45 350 23 5 0.3635969 281
-35 350 23 5 0.2272222 281
-25 350 23 5 0.1657991 281
-15 350 23 5 0.05703846 281
-55 450 23 5 0.1087811 281
-45 450 23 5 0.3614859 281
-35 450 23 5 0.264062 281
-25 450 23 5 0.1706962 281
-15 450 23 5 0.005386207 281
-55 550 23 5 0.08696957 281
-45 550 23 5 0.5023552 281
-35 550 23 5 0.2834333 281
-25 550 23 5 0.1932049 281
-15 550 23 5 -0.1119958 281
-55 650 23 5 0.2812769 281
-45 650 23 5 0.5181325 281
-35 650 23 5 0.22 281
-25 650 23 5 0.1266638 281
-15 650 23 5 -0.0614 281
-55 750 23 5 -0.0058625 281
-45 750 23 5 0.5048875 281
-35 750 23 5 0.2940154 281
-25 750 23 5 0.1854025 281
-15 750 23 5 -0.01642143 281
-55 850 23 5 0.0451 281
-45 850 23 5 0.5528373 281
-35 850 23 5 0.17035 281
-25 850 23 5 0.2794059 281
-15 850 23 5 0.1014462 281
-55 950 23 5 -0.2286935 281
-45 950 23 5 0.6077488 281
-35 950 23 5 0.01918654 281
-25 950 23 5 0.1851021 281
-15 950 23 5 -0.07775833 281
-45 350 24 5 -0.01726282 123
-35 350 24 5 0.2665105 123
-25 350 24 5 0.01430164 123
-15 350 24 5 NaN 123
-45 450 24 5 0.1246328 123
-35 450 24 5 0.3845833 123
