latitude pressure CO2_OP CO2_AO2_m_CO2_NOAA CO2_QCLS_m_CO2_NOAA CO2_MED_m_CO2_NOAA CO2_PFP_m_CO2_NOAA
-65 350 -3.336614 0.3000569 -0.06362355 0.2200405 0.1600204
-55 450 -3.097104 0.3342757 -0.03839388 0.2467625 0.1913187
-45 550 -2.849556 0.3397718 -0.009956428 0.2437461 0.1060444
-35 650 -2.620696 0.1391509 2.296618e-05 0.1651178 0.295
-25 750 -2.095304 0.2286582 0.01136076 0.08648951 0.03510282
-15 850 -1.832974 0.2771674 -0.01885419 0.2164676 0.02235577
-5 950 -1.937883 0.4068273 -0.02150777 0.2386319 -0.005431347
5 350 -1.420178 0.2593525 0.03921876 0.2002621 -0.05860761
15 450 -1.29397 0.3598179 0.01594336 0.2304825 -0.007140377
25 550 -0.5435218 0.3086385 -0.02277942 0.2980678 0.0587227
35 650 -0.2624488 0.3715184 0.02289657 0.2236731 0.0478495
45 750 0.1246919 0.3880393 0.07418598 0.2108002 0.05502976
55 850 0.135805 0.2855393 0.05811076 0.2351418 0.07839987
65 950 -0.2472497 0.2860254 -0.009224341 0.1734499 0.02283316
75 350 -1.197979 0.2937105 -0.04906711 0.1659963 3.434066e-05
-65 450 -3.629209 0.2554169 0.02446134 0.2393612 0.1697516
-55 550 -3.344826 0.3280583 0.0081989 0.2453825 0.1008959
-45 650 -2.96906 0.387979 0.08799317 0.1640066 0.1773775
-35 750 -2.923156 0.155791 0.09826217 0.2757575 0.4047895
-25 850 -2.546385 0.2758723 0.08362679 0.2887677 0.01478496
-15 950 -2.186737 0.3193815 0.05741063 0.3119817 0.09294116
-5 350 -2.265646 0.4271841 0.06970336 0.3266094 0.09635156
5 450 -1.495208 0.2920905 0.1354977 0.3251566 0.06453978
15 550 -1.286259 0.3493431 0.0588161 0.2820127 0.02456288
25 650 -0.5344383 0.30709 0.1097367 0.3469602 0.07457582
35 750 0.06518757 0.367871 0.1096912 0.1811035 0.09613336
45 850 0.1522345 0.4027718 0.1275676 0.2959368 0.1186326
55 950 0.3762256 0.2696006 0.1568278 0.2228952 0.103473
65 350 0.2372089 0.3754328 0.02660938 0.1909671 0.03980492
75 450 -0.4209038 0.286499 0.06247151 0.006012406 0.04568401
-65 550 -3.777065 0.2335741 0.1267315 0.1889631 0.3159167
-55 650 -3.415695 0.2506865 0.1022557 0.3119878 0.3159167
-45 750 -3.044611 0.4198865 0.2060176 0.2679663 0.05222222
-35 850 -2.923964 0.1555211 0.2134557 0.3145261 0.1253784
-25 950 -2.873251 0.187195 0.1623118 0.3066569 0.2543636
-15 350 -1.916314 0.3514717 0.1758454 0.2520918 0.1491786
-5 450 -1.451517 0.4474198 0.2315152 0.1026814 0.143963
5 550 -1.541469 0.2771217 0.2416474 0.2359934 0.2496445
15 650 -1.168023 0.305115 0.1373553 0.3083343 0.03027778
25 750 -0.4847569 0.2750227 0.1960663 0.3943219 0.1252847
35 850 0.08062584 0.3677826 0.1846406 0.2505614 0.07928571
45 950 0.2850263 0.3954583 0.1915624 0.643476 0.08
55 350 0.6418951 0.2540702 0.2038305 0.1922631 0.1883333
65 450 0.489874 0.3498871 0.1055464 -0.06548172 -0.03120886
75 550 -0.3214984 0.2423055 0.1568623 0.1565519 0.09840741
-65 650 -3.842775 0.2197831 0.1567371 0.215069 0.2581151
-55 750 -3.686435 0.2722489 0.2902642 -0.02848925 0.3208929
-45 850 -3.260855 0.460106 0.234938 0.2391324 0.2520984
-35 950 -2.887592 0.1452204 0.2727489 0.2763249 0.3030357
-25 350 -2.65431 0.1561435 0.3202086 0.3182811 -0.01308907
-15 450 -2.053176 0.2967317 0.2080553 0.6504898 0.223
-5 550 -0.7382092 0.3962924 0.2511206 0.3232411 0.1351875
5 650 -1.089726 0.2933214 0.3124134 0.67424 0.133375
15 750 -1.05287 0.2828205 0.2542705 0.3240901 0.1106836
25 850 -0.4334536 0.2692711 0.2573063 0.2457928 0.08219802
35 950 0.2219499 0.3786919 0.2141004 0.3035022 0.1015331
45 350 0.3093044 0.3852077 0.2371367 0.2343301 0.03964394
55 450 0.9552468 0.213615 0.2398557 0.2910197 0.06174048
65 550 0.6267322 0.2865635 0.1677945 0.3125573 0.1594078
75 650 -0.2693389 0.219893 0.1678221 0.1622493 0.1154616
-65 750 -3.924671 0.2223258 0.1291388 0.2515133 0.13175
-55 850 -3.749544 0.228354 0.3384503 0.2775465 0.1383333
-45 950 -3.384089 0.3104799 0.3005466 0.3535654 0.2866667
-35 350 -2.977685 0.1213358 0.2869848 0.2276298 0.07410714
-25 450 -2.930889 0.1789047 0.3155677 0.256755 0.5029762
-15 550 -2.401627 0.3314247 0.1976339 0.2994595 0.230625
-5 650 -0.3513493 0.4049228 0.2895718 0.5235186 0.08938497
5 750 -0.7252088 0.3169185 0.3294738 0.3238726 0.09400352
15 850 -0.6238276 0.358541 0.2900431 0.3242605 0.01110728
25 950 -0.4372685 0.2977428 0.2819903 0.3688494 0.184375
35 350 0.3461236 0.3867671 0.2824167 0.2775439 0.1579444
45 450 0.7611368 0.3461784 0.2887156 0.2992653 0.1498876
55 550 1.456796 0.1802388 0.2656097 0.2016482 0.1002349
65 650 0.8636644 0.2954279 0.1585624 0.3014455 0.15625
75 750 0.002226774 0.2349671 0.186649 0.2071834 -0.2373214
-65 850 -3.983126 0.2308461 0.2093866 0.2828573 0.0775
-55 950 -3.86424 0.137922 0.290741 0.3871176 0.0775
-45 350 -3.463216 0.3024164 0.2808524 0.3300456 0.0775
-35 450 -3.224988 0.1084771 0.3311099 0.3319522 0.39
-25 550 -2.933434 0.2889105 0.3686907 0.2758029 0.07
-15 650 -2.404049 0.284101 0.29095 0.2738165 -0.0125
-5 750 -0.6845819 0.3591984 0.3049728 0.2718301 0.1092083
5 850 -0.6588076 0.2352556 0.3143268 0.2888418 0.1845536
15 950 -0.328463 0.3611555 0.3005179 0.390848 0.008035714
25 350 -0.05078352 0.24549 0.2822482 0.1436263 -0.0025
35 450 0.4376216 0.3911273 0.2394535 0.3063682 0.2175
45 550 1.113215 0.3162187 0.3078441 0.3169931 0.139375
55 650 1.793065 0.1828577 0.254757 0.3414824 0.1133333
65 750 0.5986385 0.3904647 0.08916035 0.2384917 0.16075
75 850 0.004388648 0.2208447 0.2168642 0.231017 0.145
-65 950 -4.099624 0.2240916 0.1996262 0.3800197 0.3307948
-55 350 -4.033747 0.02008029 0.2829118 0.1937932 0.2626683
-45 450 -3.613004 0.3181856 0.3354926 0.375802 0.22
-35 550 -3.501162 0.1079305 0.3312201 1.418989 0.04755057
-25 650 -3.305877 0.2664272 0.3049071 0.2650248 0.02342091
-15 750 -2.386016 0.1708522 0.3636425 0.3561153 0.2453571
-5 850 -1.61338 0.3367346 0.2764105 0.3530689 -0.008587028
5 950 -0.7109765 0.245684 0.2695538 0.294156 0.004101975
15 350 -0.003880713 0.3673991 0.2969167 0.2594761 0.04335585
25 450 0.1680903 0.1657505 0.3207839 0.3650387 0.1019325
35 550 0.6315286 0.3665769 0.252757 0.3614689 0.120183
45 650 1.139389 0.3237285 0.3015834 0.2323702 0.4231171
55 750 2.053181 0.1996919 0.2461672 0.2936237 0.1290915
65 850 2.509733 0.1249043 0.1774404 0.6591319 0.2228678
75 950 0.1224121 0.2032289 0.1902545 0.2875491 0.1004945
