lat prs camp flt x yday
35 550 24 2 306.0492 116
45 550 24 2 303.2196 117
55 550 24 2 298.8011 117
65 550 24 2 287.3121 117
75 550 24 2 290.4063 117
35 650 24 2 303.7991 116.1818
45 650 24 2 298.8413 117
55 650 24 2 291.5447 117
65 650 24 2 284.8933 117
75 650 24 2 285.8216 117
35 750 24 2 295.244 116.3191
45 750 24 2 292.9862 117
55 750 24 2 286.2067 117
65 750 24 2 283.0772 117
75 750 24 2 282.5884 117
35 850 24 2 288.8054 116.0526
45 850 24 2 286.8685 117
55 850 24 2 281.6084 117
65 850 24 2 280.1203 117
75 850 24 2 279.4597 117
35 950 24 2 285.7769 116
45 950 24 2 283.0763 117
55 950 24 2 277.8655 117
65 950 24 2 278.653 117
75 950 24 2 274.3867 117
25 350 21 3 334.6218 216
35 350 21 3 326.4133 216
45 350 21 3 326.6218 216
55 350 21 3 327.5378 216
65 350 21 3 322.7275 216
25 450 21 3 329.909 216
35 450 21 3 318.2658 216
45 450 21 3 319.9401 216
55 450 21 3 320.5667 216
65 450 21 3 316.4109 216
25 550 21 3 322.611 216
35 550 21 3 313.1316 216
45 550 21 3 314.0171 216
55 550 21 3 313.5951 216
65 550 21 3 311.1847 216
25 650 21 3 312.8595 216
35 650 21 3 308.2404 216
45 650 21 3 308.4895 216
55 650 21 3 307.4504 216
65 650 21 3 305.3849 216
25 750 21 3 311.4104 216
35 750 21 3 305.3407 216
45 750 21 3 304.0332 216
55 750 21 3 303.1624 216
65 750 21 3 299.1675 216
35 850 21 3 298.5426 216
45 850 21 3 297.9048 216
55 850 21 3 297.7023 216
65 850 21 3 294.0897 216
35 950 21 3 294.5743 216
45 950 21 3 293.3182 216
55 950 21 3 291.2718 216
65 950 21 3 290.749 216
25 350 22 3 322.4592 32
35 350 22 3 317.9908 32
45 350 22 3 314.8176 32
55 350 22 3 311.6941 32
65 350 22 3 304.4532 32
25 450 22 3 319.0186 32
35 450 22 3 312.9573 32
45 450 22 3 310.5504 32
55 450 22 3 308.7218 32
65 450 22 3 297.3081 32
25 550 22 3 314.4084 32
35 550 22 3 308.7123 32
45 550 22 3 305.5745 32
55 550 22 3 303.2409 32
65 550 22 3 287.0801 32
25 650 22 3 311.554 32
35 650 22 3 304.9858 32
45 650 22 3 296.3113 32
55 650 22 3 296.384 32
65 650 22 3 284.0916 32
15 750 22 3 307.1493 32
25 750 22 3 306.9928 32
35 750 22 3 298.2278 32
45 750 22 3 283.5317 32
55 750 22 3 287.145 32
65 750 22 3 282.1182 32
15 850 22 3 300.1602 32
25 850 22 3 299.7823 32
35 850 22 3 287.7984 32
45 850 22 3 280.3589 32
55 850 22 3 281.1061 32
65 850 22 3 278.1493 32
15 950 22 3 295.6491 32
25 950 22 3 292.1552 32
35 950 22 3 284.084 32
45 950 22 3 277.3978 32
55 950 22 3 275.1556 32
65 950 22 3 276.82 32
25 350 23 3 333.1318 277
35 350 23 3 329.0558 277
45 350 23 3 330.3027 277
55 350 23 3 330.6445 277
65 350 23 3 312.8387 277
25 450 23 3 328.8929 277
35 450 23 3 322.6518 277
45 450 23 3 323.8727 277
55 450 23 3 324.8392 277
65 450 23 3 307.1439 277
25 550 23 3 320.5305 277
35 550 23 3 317.4827 277
45 550 23 3 316.0145 277
55 550 23 3 315.653 277
25 650 23 3 314.936 277
35 650 23 3 311.2547 277
45 650 23 3 309.3378 277
55 650 23 3 306.9805 277
25 750 23 3 310.0813 277
35 750 23 3 306.6517 277
45 750 23 3 303.4865 277
55 750 23 3 297.4561 277
25 850 23 3 303.0127 277
35 850 23 3 298.6467 277
45 850 23 3 297.229 277
55 850 23 3 289.2749 277
25 950 23 3 298.3103 277
35 950 23 3 291.0502 277
45 950 23 3 286.0841 277
55 950 23 3 285.1721 277
25 350 24 3 330.9715 119
35 350 24 3 318.0672 119
45 350 24 3 327.9219 119
55 350 24 3 327.8533 119
65 350 24 3 325.1415 119
25 450 24 3 322.3892 119
35 450 24 3 312.4695 119
45 450 24 3 320.935 119
55 450 24 3 319.3614 119
65 450 24 3 317.5625 119
25 550 24 3 317.0368 119
35 550 24 3 306.7835 119
45 550 24 3 314.1436 119
55 550 24 3 312.7748 119
65 550 24 3 308.2767 119
25 650 24 3 311.8637 119
35 650 24 3 301.8802 119
45 650 24 3 306.5148 119
55 650 24 3 305.096 119
65 650 24 3 298.593 119
25 750 24 3 305.2098 119
35 750 24 3 296.2472 119
45 750 24 3 300.9653 119
55 750 24 3 297.0374 119
25 850 24 3 297.0793 119
35 850 24 3 291.9904 119
45 850 24 3 293.8741 119
55 850 24 3 292.4961 119
15 950 24 3 298.3442 119
25 950 24 3 291.3118 119
35 950 24 3 287.0779 119
45 950 24 3 285.0307 119
55 950 24 3 284.0402 119
-15 350 21 4 341.6516 219
