lat camp flt x yday
5 21 1 NA 211
15 21 1 NA 210.6525
25 21 1 NA 210.4475
35 21 1 NA 210.2255
5 22 1 0.432059 26
15 22 1 0.5984955 26
25 22 1 0.145637 26
35 22 1 NA 26
-5 23 1 NA 271
5 23 1 0.3722382 271
15 23 1 0.01806593 271
25 23 1 0.3055137 271
35 23 1 0.7970227 270.5233
5 24 1 0.2260432 114
15 24 1 0.2200413 114
25 24 1 0.2715608 113.8787
35 24 1 NA 113.3943
35 21 2 NA 213
45 21 2 NA 213
65 21 2 NA 214
75 21 2 NA 214
35 22 2 0.4057821 29
45 22 2 0.1655136 29
55 22 2 0.2901349 29
65 22 2 -0.4581744 29
75 22 2 0.8466679 29
35 23 2 0.2047357 273.1157
45 23 2 0.4789177 274
55 23 2 0.03123527 274
65 23 2 0.261384 274
75 23 2 0.1114537 274
35 24 2 0.2993797 116.0791
45 24 2 0.1740315 117
55 24 2 -0.1437094 117
65 24 2 0.258013 117
75 24 2 0.1164919 117
25 21 3 0.4005081 216
35 21 3 0.04321705 216
45 21 3 0.4176058 216
55 21 3 0.2645907 216
65 21 3 0.2427987 216
15 22 3 NA 32
25 22 3 0.6102541 32
35 22 3 0.3322117 32
45 22 3 0.4096383 32
55 22 3 0.1140855 32
65 22 3 0.5492695 32
25 23 3 0.4274912 277
35 23 3 0.1855242 277
45 23 3 0.2988539 277
55 23 3 0.3432705 277
65 23 3 NA 277
15 24 3 NA 119
25 24 3 0.3176481 119
35 24 3 0.1528405 119
45 24 3 0.2325058 119
55 24 3 0.1981673 119
65 24 3 NA 119
-15 21 4 0.2833663 219
-5 21 4 0.0506017 219
5 21 4 0.1472597 219
15 21 4 NA 218.9862
-15 22 4 0.540003 34
-5 22 4 0.5031044 34
5 22 4 0.06442543 34
15 22 4 0.5094529 34
-15 23 4 0.6563931 279
-5 23 4 0.3684413 279
5 23 4 0.177107 279
15 23 4 0.2591036 279
-15 24 4 0.6011468 121
-5 24 4 0.2417852 121
5 24 4 0.3529251 121
15 24 4 0.5708697 121
-45 21 5 0.02136771 221
-35 21 5 -0.1556029 221
-25 21 5 NA 221
-15 21 5 0.4299095 221
-55 22 5 0.04376106 36
-45 22 5 0.8284253 36
-35 22 5 0.1184327 36
-25 22 5 0.1616752 36
-15 22 5 0.8489587 36
-55 23 5 0.07017847 281
-45 23 5 0.487292 281
-35 23 5 0.2111814 281
-25 23 5 0.1866106 281
-15 23 5 -0.01481497 281
-45 24 5 0.2280036 123
-35 24 5 0.512999 123
-25 24 5 0.2211353 123
-15 24 5 -0.2351382 123
-65 21 6 0.08533434 225
-55 21 6 0.1905928 225
-45 21 6 0.4471576 225
-65 22 6 0.4072316 41
-55 22 6 0.2057532 41
-45 22 6 NA 41
-65 23 6 0.1186492 284
-55 23 6 0.05221139 284
-45 23 6 0.3418826 283.873
-65 24 6 0.1867456 126
-55 24 6 0.2600645 126
-45 24 6 0.1187034 126
-55 21 7 0.5963759 227
-45 21 7 0.4904524 227
-35 21 7 0.1069133 227
-25 21 7 0.1622363 227
-15 21 7 0.1440479 227.9406
-5 21 7 NA 228
-55 22 7 0.04428818 43
-45 22 7 -0.05967884 43
-35 22 7 -0.3511755 43
-25 22 7 -0.2595002 43.92857
-15 22 7 -0.5054561 44
-5 22 7 0.1675048 44
-65 23 7 0.3120618 286.4455
-55 23 7 0.302056 286.3064
-65 24 7 0.1901605 128
-55 24 7 0.3995206 128.5599
-5 21 8 0.2426981 229
5 21 8 0.1910034 229
15 21 8 0.1858694 229
25 21 8 -0.009345968 229
35 21 8 0.3302408 229
-5 22 8 0.512594 45
5 22 8 0.3059331 45
15 22 8 0.4071811 45
25 22 8 0.2665853 45
35 22 8 0.8480241 45.37225
-55 23 8 NA 289
-45 23 8 0.2663239 289
-35 23 8 0.4836068 289
-25 23 8 0.3929231 289
-15 23 8 0.4068561 289
-5 23 8 0.7500323 290
-55 24 8 0.316091 131
-45 24 8 0.325833 131
-35 24 8 0.2085024 131
-25 24 8 0.5675664 131.5099
-15 24 8 0.4407039 132
-5 24 8 0.5316956 132
35 21 9 NA 232
45 21 9 0.3292149 232
55 21 9 NA 232
65 21 9 0.6093173 232.3394
75 21 9 0.01026453 232
35 22 9 0.9604187 48
45 22 9 0.2530616 48
55 22 9 0.1470568 48
65 22 9 0.4798323 48
75 22 9 0.9576754 48
-5 23 9 0.8797162 291
5 23 9 0.4409486 291
15 23 9 0.4247352 291
-5 24 9 0.2738371 133
5 24 9 0.2145477 133
15 24 9 0.1319873 133
25 24 9 0.2180294 133
35 24 9 0.05617788 134
65 22 10 0.3810369 50
75 22 10 0.3056867 49.8444
5 23 10 0.3961879 292
15 23 10 0.2640617 292
25 23 10 0.05340203 292
35 23 10 0.5083552 292
35 24 10 0.3699354 136
45 24 10 0.2142411 136
55 24 10 0.2160786 136
65 24 10 0.1630025 136.2173
35 22 11 0.6797041 52
45 22 11 0.3613254 52
55 22 11 0.3267771 52
65 22 11 0.7251044 52
35 23 11 0.2318453 295
45 23 11 0.6347188 295.2263
55 23 11 0.3314856 295
65 23 11 0.3284172 295
45 24 11 0.7855217 137
65 24 11 0.2312857 137
45 23 12 0.5943427 297
55 23 12 0.4062596 297
65 23 12 0.2002163 297.5045
75 23 12 0.09122058 297.9008
45 24 12 0.204271 138
55 24 12 NA 138
65 24 12 0.4227786 138.3845
75 24 12 -0.01760664 139
35 23 13 0.2843116 300
45 23 13 0.3453554 300
55 23 13 0.3141757 300
65 23 13 0.4781637 300
35 24 13 0.1185357 141
45 24 13 0.2788591 141
55 24 13 0.3101257 140.3025
65 24 13 0.1745039 140
