lat camp flt x yday
5 21 1 NA 211
15 21 1 NA 210.6525
25 21 1 NA 210.4475
35 21 1 NA 210.2255
5 22 1 0.2503569 26
15 22 1 0.2961118 26
25 22 1 0.2619695 26
35 22 1 NA 26
-5 23 1 NA 271
5 23 1 0.3962418 271
15 23 1 0.3721017 271
25 23 1 0.3123387 271
35 23 1 NA 270.5233
5 24 1 0.2469603 114
15 24 1 0.2965604 114
25 24 1 0.2651562 113.8787
35 24 1 NA 113.3943
35 21 2 NA 213
45 21 2 NA 213
65 21 2 NA 214
75 21 2 NA 214
35 22 2 NA 29
45 22 2 0.280202 29
55 22 2 0.1897132 29
65 22 2 0.20887 29
75 22 2 0.1894832 29
35 23 2 0.3617001 273.1157
45 23 2 0.1964695 274
55 23 2 0.2152846 274
65 23 2 NA 274
75 23 2 0.08841189 274
35 24 2 -0.1349368 116.0791
45 24 2 0.1639497 117
55 24 2 0.1441726 117
65 24 2 -0.08901254 117
75 24 2 0.1232804 117
25 21 3 0.2722331 216
35 21 3 0.1537781 216
45 21 3 0.2714171 216
55 21 3 0.1566072 216
65 21 3 -0.05951545 216
15 22 3 NA 32
25 22 3 0.2104262 32
35 22 3 0.3115284 32
45 22 3 0.2001649 32
55 22 3 0.3826499 32
65 22 3 NA 32
25 23 3 0.2474194 277
35 23 3 0.2182716 277
45 23 3 0.2794338 277
55 23 3 0.3154296 277
65 23 3 NA 277
15 24 3 NA 119
25 24 3 0.1698321 119
35 24 3 0.1615195 119
45 24 3 0.1761951 119
55 24 3 0.1234625 119
65 24 3 NA 119
-15 21 4 NA 219
-5 21 4 0.1097494 219
5 21 4 0.260066 219
15 21 4 0.269875 218.9862
-15 22 4 0.3248107 34
-5 22 4 0.2086767 34
5 22 4 0.3159387 34
15 22 4 0.180979 34
-15 23 4 0.2156012 279
-5 23 4 0.1959894 279
5 23 4 0.126108 279
15 23 4 0.2133758 279
-15 24 4 NA 121
-5 24 4 0.1516423 121
5 24 4 0.2041183 121
15 24 4 0.1398129 121
-45 21 5 0.1437712 221
-35 21 5 0.06874511 221
-25 21 5 NA 221
-15 21 5 NA 221
-55 22 5 0.2596517 36
-45 22 5 0.3254251 36
-35 22 5 0.3142621 36
-25 22 5 0.3403462 36
-15 22 5 NA 36
-55 23 5 0.1011188 281
-45 23 5 0.2470511 281
-35 23 5 0.2854929 281
-25 23 5 0.2384324 281
-15 23 5 NA 281
-45 24 5 0.07994746 123
-35 24 5 0.1342801 123
-25 24 5 0.1058468 123
-15 24 5 -0.08173191 123
-65 21 6 0.08260826 225
-55 21 6 0.1877715 225
-45 21 6 0.1792716 225
-65 22 6 0.1855999 41
-55 22 6 0.2549078 41
-45 22 6 NA 41
-65 23 6 0.2057817 284
-55 23 6 0.2527744 284
-45 23 6 NA 283.873
-65 24 6 0.08302262 126
-55 24 6 0.1928145 126
-45 24 6 0.03332025 126
-55 21 7 -0.1678043 227
-45 21 7 0.03069151 227
-35 21 7 0.2088771 227
-25 21 7 0.106907 227
-15 21 7 0.07099189 227.9406
-5 21 7 NA 228
-55 22 7 NA 43
-45 22 7 0.1944774 43
-35 22 7 0.2462463 43
-25 22 7 NA 43.92857
-15 22 7 0.1997579 44
-5 22 7 NA 44
-65 23 7 0.03404897 286.4455
-55 23 7 0.2086605 286.3064
-65 24 7 0.03852586 128
-55 24 7 0.08712192 128.5599
-5 21 8 0.2419119 229
5 21 8 0.2819434 229
15 21 8 0.1980355 229
25 21 8 0.1170194 229
35 21 8 0.1219789 229
-5 22 8 0.3055856 45
5 22 8 0.2943228 45
15 22 8 0.2365332 45
25 22 8 0.1182888 45
35 22 8 0.2064863 45.37225
-55 23 8 NA 289
-45 23 8 0.2205821 289
-35 23 8 0.1842702 289
-25 23 8 0.1139383 289
-15 23 8 0.01235358 289
-5 23 8 0.2934868 290
-55 24 8 0.1823791 131
-45 24 8 0.2692623 131
-35 24 8 0.2511393 131
-25 24 8 0.2932422 131.5099
-15 24 8 0.1815964 132
-5 24 8 -0.03755503 132
35 21 9 NA 232
45 21 9 0.1779176 232
55 21 9 NA 232
65 21 9 0.1437038 232.3394
75 21 9 0.1748841 232
35 22 9 NA 48
45 22 9 0.3257869 48
55 22 9 0.2574389 48
65 22 9 0.2415556 48
75 22 9 0.2479258 48
-5 23 9 0.172496 291
5 23 9 0.161099 291
15 23 9 NA 291
-5 24 9 0.1467806 133
5 24 9 0.1476692 133
15 24 9 0.002349323 133
25 24 9 0.07051918 133
35 24 9 NA 134
65 22 10 0.1373918 50
75 22 10 0.1021278 49.8444
5 23 10 0.1297043 292
15 23 10 0.02984225 292
25 23 10 0.1844076 292
35 23 10 0.152914 292
35 24 10 NA 136
45 24 10 0.2081973 136
55 24 10 0.2063956 136
65 24 10 0.1989494 136.2173
35 22 11 NA 52
45 22 11 0.195252 52
55 22 11 0.2437738 52
65 22 11 NA 52
35 23 11 NA 295
45 23 11 0.2341429 295.2263
55 23 11 0.1291912 295
65 23 11 0.088548 295
45 24 11 NA 137
65 24 11 NA 137
45 23 12 NA 297
55 23 12 NA 297
65 23 12 -0.06703468 297.5045
75 23 12 0.07118382 297.9008
45 24 12 NA 138
55 24 12 NA 138
65 24 12 0.1081902 138.3845
75 24 12 0.1053436 139
35 23 13 0.1109478 300
45 23 13 0.1381553 300
55 23 13 0.1158392 300
65 23 13 NA 300
35 24 13 0.2046215 141
45 24 13 0.2102929 141
55 24 13 0.2286226 140.3025
65 24 13 NA 140
