latitude pressure AMES_IS BAKER_IS CAMS_IS CMS-FLUX_IS COLA_IS CT_IS OU_IS TM5-4DVAR_IS UT_IS WOMBAT_IS AMES_OG BAKER_OG CAMS_OG CMS-FLUX_OG COLA_OG CT_OG OU_OG TM5-4DVAR_OG UT_OG WOMBAT_OG AMES_LNLG BAKER_LNLG CAMS_LNLG CMS-FLUX_LNLG COLA_LNLG CT_LNLG OU_LNLG TM5-4DVAR_LNLG UT_LNLG WOMBAT_LNLG AMES_LNLGOGIS BAKER_LNLGOGIS CAMS_LNLGOGIS CMS-FLUX_LNLGOGIS COLA_LNLGOGIS CT_LNLGOGIS OU_LNLGOGIS TM5-4DVAR_LNLGOGIS UT_LNLGOGIS WOMBAT_LNLGOGIS AMES_LNLGIS BAKER_LNLGIS CAMS_LNLGIS CMS-FLUX_LNLGIS COLA_LNLGIS CT_LNLGIS OU_LNLGIS TM5-4DVAR_LNLGIS UT_LNLGIS WOMBAT_LNLGIS
35 350 -0.4055597 -0.4163827 -0.5331765 -0.1790749 -0.8357174 0.09090805 -0.02459056 -0.09719648 -0.2117626 -0.1542536 -0.07736067 -0.09126284 0.09161472 -0.05283242 -0.7499417 0.3653694 0.3743424 0.3153555 -0.05385595 -0.002579221 -0.162366 -0.377987 -0.20272 -0.312546 -0.6215937 0.01419956 0.06159144 -0.03451027 -0.3266959 -0.4064354 -0.1253938 -0.1433716 0.004186783 -0.08156575 -0.6444097 0.08839689 0.2163632 0.1758756 -0.2060117 -0.0910945 -0.2501516 -0.4134293 -0.1730485 -0.1116336 -0.5040694 0.06748226 -0.03414374 -0.1235602 -0.2060117 -0.3414061
45 350 0.01242566 0.002295277 -0.2534104 0.3714242 -0.4370756 0.485173 0.1832196 0.2384202 0.2780161 0.1486869 0.4198444 0.4263101 0.4808321 0.4085538 -0.09190346 0.8129737 0.5193266 0.5663455 0.4741645 0.4129051 0.1718961 -0.03139913 0.05302011 0.08341981 -0.3603729 0.2770098 0.1237003 0.1650373 0.02097006 -0.1553421 0.2989425 0.3120745 0.3576176 0.3531646 -0.1981112 0.454763 0.4343777 0.4935846 0.2614828 0.2503958 0.1075885 -0.03132121 0.07168975 0.3367556 -0.2731459 0.4861422 0.1421723 0.1975548 0.2614828 -0.07154023
55 350 -0.1498451 -0.07340371 -0.450399 0.301343 -0.5305788 0.2305482 -0.04139499 -0.03099108 0.03031145 0.07935123 0.4137515 0.4595793 0.5539014 0.3538137 -0.1497445 0.7044316 0.4601415 0.5065795 0.5719969 0.4661756 -0.02579722 -0.1401594 -0.06692445 -0.05949067 -0.4677325 0.05441909 -0.08119595 -0.09013856 -0.06028847 -0.2221069 0.1632224 0.2833918 0.3815677 0.187149 -0.240148 0.1338323 0.2817976 0.3010669 0.05885423 0.1957254 -0.08953465 -0.1128168 -0.04577206 0.1684602 -0.3759161 0.2463951 -0.07009917 -0.06613906 0.05885423 -0.153735
65 350 -0.2799002 -0.1409899 -0.5909788 0.2013178 -0.7793127 -0.1046043 -0.2866067 -0.3345657 -0.1371399 -0.1845536 0.28307 0.4380083 0.7725651 0.3569295 -0.4815535 0.4481316 0.4918098 0.517425 0.6036526 0.1980887 -0.2094391 -0.2158994 0.01915483 -0.190924 -0.7119171 -0.1539422 -0.2199259 -0.2736459 -0.1149367 -0.4780809 0.03535891 0.2487047 0.5464151 0.04582591 -0.4414663 -0.2232886 0.1424142 0.1234995 -0.09760962 -0.06765559 -0.2245996 -0.1792608 0.04173048 0.01439017 -0.5825155 0.1079945 -0.265975 -0.2853774 -0.09760962 -0.3962044
75 350 -0.8373455 -0.9583279 -1.113941 -0.6697754 -1.626456 -0.8696552 -1.061029 -1.223261 -0.9438096 -0.6676302 -0.2259106 -0.2880884 0.2894199 -0.3296514 -1.20211 -0.0260069 -0.1261143 -0.2617942 -0.1907455 -0.1984487 -0.8536023 -0.9587042 -0.5378997 -0.9796746 -1.380818 -0.7216101 -0.9626323 -1.118827 -0.8836739 -0.9622778 -0.5263444 -0.500142 -0.04471008 -0.7302177 -1.150926 -0.8853653 -0.5867084 -0.7066298 -0.9399114 -0.5363732 -0.7796731 -0.9348521 -0.5004114 -0.8131511 -1.292068 -0.5142014 -1.019626 -1.108583 -0.9399114 -0.8675976
-65 450 -3.470187 -3.415248 -3.618038 -3.255292 -3.392957 -3.56256 -3.574117 -3.681187 -3.421762 -3.608288 -3.09492 -3.395096 -3.083478 -3.141958 -3.244092 -3.083708 -3.089541 -3.057964 -3.280451 -3.35588 -3.574371 -3.855061 -3.521088 -3.463781 -3.895002 -3.884209 -3.44731 -3.547263 -3.591037 -3.928239 -3.356312 -3.509689 -3.084829 -3.312239 -3.309219 -3.413633 -3.27367 -3.524301 -3.352756 -3.548676 -3.482223 -3.670913 -3.655849 -3.319326 -3.577275 -3.437167 -3.574869 -3.679565 -3.352756 -3.658311
-55 450 -3.238819 -3.018256 -3.316635 -3.027781 -3.165099 -3.292875 -3.380254 -3.417006 -3.133448 -3.218394 -2.875096 -3.092097 -2.743275 -2.945094 -3.085985 -2.92428 -2.883778 -2.840423 -3.026169 -2.945019 -3.288391 -3.412167 -3.239365 -3.224354 -3.58695 -3.554625 -3.291838 -3.376783 -3.317754 -3.52196 -3.089235 -3.168164 -2.790454 -3.06497 -3.142799 -3.193344 -3.05987 -3.201816 -3.083639 -3.12825 -3.226488 -3.278653 -3.308358 -3.068998 -3.325541 -3.244434 -3.384312 -3.442136 -3.083639 -3.303671
-45 450 -2.919027 -2.62802 -3.10295 -2.706753 -2.870749 -2.938224 -3.113006 -3.024898 -2.766038 -2.838132 -2.58459 -2.72302 -2.494629 -2.67669 -2.810063 -2.663969 -2.60598 -2.534262 -2.694388 -2.564281 -2.961719 -3.042789 -3.059547 -2.90493 -3.31744 -3.128241 -3.097492 -3.138559 -3.002352 -3.145959 -2.742841 -2.832634 -2.596578 -2.734627 -2.958524 -2.869686 -2.841119 -2.804579 -2.726594 -2.751441 -2.884965 -2.938922 -3.051337 -2.71397 -3.102357 -2.943377 -3.165874 -3.095056 -2.726594 -2.973027
-35 450 -2.580992 -2.212662 -2.775955 -2.426995 -2.592915 -2.6928 -2.867731 -2.8346 -2.433511 -2.49475 -2.365204 -2.570415 -2.39556 -2.413259 -2.583761 -2.590029 -2.389008 -2.488309 -2.479331 -2.238804 -2.551201 -2.56955 -2.919438 -2.547303 -2.927651 -2.954385 -2.883231 -3.009446 -2.665171 -2.768454 -2.426324 -2.522195 -2.496033 -2.411205 -2.70347 -2.815696 -2.610447 -2.67575 -2.508161 -2.404373 -2.523681 -2.531932 -2.847733 -2.364434 -2.713831 -2.749 -2.932371 -2.98248 -2.508161 -2.668767
-25 450 -2.424318 -1.93704 -2.748882 -2.471259 -2.434396 -2.158725 -2.424489 -2.449884 -2.157331 -2.368443 -2.390738 -2.274565 -2.275984 -2.471599 -2.605549 -2.245153 -2.313134 -2.30251 -2.431332 -2.144301 -2.52144 -2.280689 -2.75611 -2.540051 -2.992411 -2.54612 -2.564494 -2.677565 -2.596263 -2.59341 -2.425042 -2.225177 -2.365257 -2.518769 -2.832857 -2.342623 -2.403364 -2.347785 -2.466784 -2.208837 -2.456441 -2.293876 -2.667437 -2.396295 -2.885565 -2.318492 -2.565731 -2.667661 -2.466784 -2.551666
