latitude pressure AMES_IS BAKER_IS CAMS_IS CMS-FLUX_IS COLA_IS CT_IS OU_IS TM5-4DVAR_IS UT_IS WOMBAT_IS AMES_OG BAKER_OG CAMS_OG CMS-FLUX_OG COLA_OG CT_OG OU_OG TM5-4DVAR_OG UT_OG WOMBAT_OG AMES_LNLG BAKER_LNLG CAMS_LNLG CMS-FLUX_LNLG COLA_LNLG CT_LNLG OU_LNLG TM5-4DVAR_LNLG UT_LNLG WOMBAT_LNLG AMES_LNLGOGIS BAKER_LNLGOGIS CAMS_LNLGOGIS CMS-FLUX_LNLGOGIS COLA_LNLGOGIS CT_LNLGOGIS OU_LNLGOGIS TM5-4DVAR_LNLGOGIS UT_LNLGOGIS WOMBAT_LNLGOGIS AMES_LNLGIS BAKER_LNLGIS CAMS_LNLGIS CMS-FLUX_LNLGIS COLA_LNLGIS CT_LNLGIS OU_LNLGIS TM5-4DVAR_LNLGIS UT_LNLGIS WOMBAT_LNLGIS
-65 550 -3.603148 -3.584826 -3.742061 -3.407024 -3.545159 -3.655042 -3.650164 -3.794856 -3.570923 -3.758087 -3.270092 -3.528279 -3.228139 -3.300582 -3.39474 -3.177802 -3.177094 -3.191218 -3.457738 -3.530034 -3.76943 -4.066296 -3.617429 -3.635499 -4.056444 -4.09576 -3.510322 -3.614297 -3.757972 -4.08404 -3.528092 -3.650389 -3.196552 -3.476847 -3.457548 -3.519559 -3.367286 -3.700516 -3.507268 -3.715207 -3.632405 -3.83212 -3.786437 -3.486425 -3.700596 -3.542881 -3.648694 -3.786169 -3.507268 -3.798067
-55 550 -3.385804 -3.144054 -3.420267 -3.150995 -3.277615 -3.395204 -3.452512 -3.499899 -3.279534 -3.396741 -3.013493 -3.178095 -2.834019 -3.066839 -3.189603 -3.009699 -2.962726 -2.89954 -3.17823 -3.114858 -3.500151 -3.612339 -3.350035 -3.384389 -3.749868 -3.690316 -3.368484 -3.464431 -3.500205 -3.719609 -3.258623 -3.281362 -2.874136 -3.200485 -3.272102 -3.287988 -3.151554 -3.302143 -3.222914 -3.315305 -3.396259 -3.416667 -3.428735 -3.213754 -3.458219 -3.328106 -3.46208 -3.532137 -3.222914 -3.471683
-45 550 -3.018611 -2.73834 -3.156583 -2.787549 -2.930704 -3.009885 -3.157601 -3.089839 -2.850394 -2.967163 -2.658472 -2.766268 -2.535207 -2.731602 -2.854063 -2.697409 -2.648929 -2.570707 -2.791284 -2.669202 -3.117275 -3.224639 -3.107714 -3.004862 -3.461852 -3.186886 -3.137241 -3.183849 -3.152427 -3.269916 -2.860536 -2.922013 -2.6406 -2.820724 -3.02812 -2.920941 -2.885293 -2.86982 -2.82635 -2.880286 -3.014969 -3.073972 -3.115885 -2.810798 -3.208646 -2.992739 -3.211079 -3.142199 -2.82635 -3.083033
-35 550 -2.719058 -2.384252 -3.005803 -2.600778 -2.764585 -2.774799 -2.936157 -2.938271 -2.525446 -2.668252 -2.370313 -2.62199 -2.434361 -2.539606 -2.662231 -2.656307 -2.461652 -2.498131 -2.575031 -2.337041 -2.699598 -2.782474 -3.018161 -2.737616 -3.14178 -3.021242 -2.93747 -3.036124 -2.88924 -2.947921 -2.548633 -2.632272 -2.551887 -2.597417 -2.828374 -2.837996 -2.657738 -2.716661 -2.656099 -2.551293 -2.670943 -2.694713 -2.980742 -2.548955 -2.872721 -2.815713 -2.98095 -3.011393 -2.656099 -2.808603
-25 550 -2.488016 -1.996405 -2.877218 -2.449738 -2.586835 -2.340161 -2.544868 -2.576492 -2.301012 -2.336491 -2.409187 -2.334253 -2.403411 -2.426242 -2.624039 -2.417309 -2.374949 -2.410746 -2.407596 -2.076519 -2.526808 -2.327419 -2.920475 -2.524872 -3.098837 -2.713964 -2.663577 -2.803956 -2.548082 -2.561596 -2.454296 -2.286365 -2.508746 -2.482428 -2.880414 -2.501799 -2.471664 -2.479308 -2.483688 -2.166575 -2.500307 -2.318644 -2.852211 -2.383158 -2.945768 -2.514685 -2.669533 -2.776129 -2.483688 -2.497032
-15 550 -2.083755 -1.734311 -2.279595 -2.090268 -2.283689 -1.880853 -2.031813 -2.053238 -1.844292 -1.859344 -2.147469 -1.985223 -2.017009 -2.018114 -2.450407 -2.076571 -2.046207 -2.067723 -2.051718 -1.719582 -2.099245 -1.93904 -2.270135 -2.11381 -2.49675 -2.255321 -2.116851 -2.233573 -2.088535 -2.058978 -2.119516 -2.007567 -2.047218 -2.096313 -2.569172 -2.014552 -2.045424 -2.012046 -2.058136 -1.766527 -2.064125 -1.961502 -2.177132 -1.984263 -2.432283 -2.018865 -2.079937 -2.158859 -2.058136 -2.032555
-5 550 -1.386323 -0.8760142 -1.633715 -1.217317 -1.266429 -1.260924 -1.340082 -1.400034 -0.2372852 -0.888166 -1.297157 -0.8564636 -1.198662 -0.9866769 -1.467349 -1.239808 -1.362881 -1.305528 -1.000476 -0.8691341 -0.7229486 -0.5376818 -1.419059 -0.7353029 -0.994688 -1.470192 -1.021334 -1.020681 -0.7258685 -0.8533432 -1.004362 -0.8589699 -1.171646 -0.9023624 -1.027142 -1.486887 -1.230745 -1.152898 -0.7540723 -0.8090249 -0.6812104 -0.5596952 -1.285289 -0.8307435 -0.9406432 -1.354682 -1.030818 -0.9593424 -0.7540723 -0.9282943
5 550 -1.290684 -1.498379 -1.267393 -1.077912 -1.564805 -1.150846 -1.147769 -1.25434 -0.4540944 -0.7886358 -1.058432 -1.216581 -0.9297697 -0.9931421 -1.084509 -1.077025 -0.9812646 -1.024419 -0.9415986 -1.05111 -1.296133 -1.389041 -1.258405 -1.17402 -1.329882 -1.418566 -0.9843229 -1.114081 -0.9456752 -1.338931 -1.103238 -1.350841 -0.9844248 -1.000751 -1.550972 -1.114229 -1.027026 -1.063404 -0.8631917 -1.100666 -1.143929 -1.426279 -1.180697 -0.9294068 -1.432496 -1.180408 -1.005967 -1.148509 -0.8631917 -1.32553
15 550 -1.05219 -1.228737 -1.116989 -0.8184783 -1.495065 -0.9133731 -0.9153012 -1.052741 -0.6734949 -0.7637701 -0.6242318 -0.8962378 -0.6090519 -0.6888261 -1.018804 -0.7785354 -0.6282646 -0.7235609 -0.7089215 -0.7227171 -0.9471945 -1.221315 -0.9105457 -1.003642 -1.206908 -1.107689 -0.8584129 -0.9836073 -0.9033505 -1.211737 -0.7620286 -1.038892 -0.6916093 -0.7323684 -1.429973 -0.8154002 -0.7302366 -0.8753104 -0.7878985 -0.8764257 -0.9331518 -1.246335 -0.875477 -0.7145845 -1.256589 -1.001008 -0.8765679 -1.074331 -0.7878985 -1.184635
25 550 -0.3686294 -0.5586747 -0.5382713 -0.2543911 -0.8056263 -0.1531568 -0.2023197 -0.2565904 -0.2475925 -0.2386441 -0.0006641973 -0.1518323 0.1751737 -0.1109625 -0.7383589 0.05975671 0.09768245 0.1240566 -0.1096199 -0.09757072 -0.1572433 -0.5106662 -0.2372669 -0.3567376 -0.6275673 -0.2237294 -0.1589349 -0.2052102 -0.2937449 -0.4867739 -0.09219921 -0.243524 0.05567685 -0.1427311 -0.6196363 -0.1445935 -0.001531579 -0.01139295 -0.2309161 -0.1884381 -0.2152415 -0.5182048 -0.2012181 -0.18708 -0.4787587 -0.1747504 -0.2140327 -0.3025943 -0.2309161 -0.4243603
35 550 0.03166784 0.1570967 -0.0120582 0.2110974 -0.463586 0.4455287 0.29123 0.3126766 0.2433823 0.2304178 0.5077734 0.8742853 0.8443299 0.510013 -0.237036 0.7545331 0.7966776 0.8106424 0.5744839 0.6161011 0.1885216 0.1012024 0.3118552 0.09441438 -0.2929135 0.3104436 0.3414828 0.3197074 0.09909252 -0.03165088 0.3306969 0.6024317 0.6792298 0.3003364 -0.2020353 0.4083736 0.5891385 0.6454084 0.2607806 0.4074541 0.1054535 0.1213417 0.3480718 0.2435055 -0.2000071 0.4196814 0.2603508 0.2757703 0.2607806 0.06250775
45 550 0.5021277 0.419748 0.09205531 0.7032625 -0.02040598 0.6099029 0.4240027 0.4144486 0.5189384 0.4494829 0.9777048 1.1039 1.059999 1.032904 0.6990664 0.9743716 0.9001303 0.9421145 1.024615 0.9240828 0.5027997 0.242708 0.484576 0.4990305 0.1054099 0.3819916 0.3905403 0.4132838 0.4056937 0.1711158 0.7470982 0.8330619 0.8762383 0.7108002 0.2730387 0.5522721 0.7180737 0.7578612 0.5568603 0.6529808 0.4958885 0.3077537 0.480464 0.6492012 0.1031125 0.5610924 0.3659471 0.3997026 0.5568603 0.2686363
55 550 0.8251745 0.6633922 0.9343239 1.181079 0.2581871 1.029152 0.8330663 0.806778 0.7682903 0.7948467 1.485878 1.397286 2.028389 1.44046 1.297682 1.489538 1.439847 1.520125 1.651246 1.469446 0.7674778 0.4538149 1.063681 0.8552883 0.5423428 0.6654029 0.7435454 0.7329294 0.8423983 0.5481927 1.077847 1.123838 1.73269 1.046557 0.7546835 0.866106 1.156092 1.197252 0.8351588 1.050569 0.7272317 0.5587295 1.09352 1.014594 0.4365847 1.085508 0.732927 0.7113164 0.8351588 0.616363
65 550 0.308254 0.2653241 0.2357179 0.4866959 -0.2654017 0.1052474 0.1147007 0.09273836 0.09677169 0.4695531 0.9281416 1.074725 1.779606 0.883748 1.058795 0.9365251 1.051266 1.156586 1.324363 1.150095 0.2233159 0.08705893 0.7953214 0.1511022 0.04508963 0.2223993 0.1640798 0.2039736 0.4580552 0.2858343 0.6122555 0.7765943 1.498225 0.3126075 0.2376816 -0.1171987 0.640542 0.6830755 0.2204498 0.7033813 0.3052167 0.2154881 0.8282132 0.259498 -0.02084355 0.4502714 0.1487617 0.2256212 0.2204498 0.3338927
75 550 -0.09607605 -0.3205822 -0.4111233 -0.04324835 -0.8360912 -0.4365374 -0.4243076 -0.3642893 -0.3303521 -0.1222629 0.5432947 0.5846487 1.220487 0.4849271 0.3829997 0.796002 0.6022578 0.7584985 0.6960598 0.7494459 -0.2724014 -0.4604397 0.2121099 -0.4032014 -0.4704194 -0.1700379 -0.3791367 -0.2221057 -0.1741186 -0.2497064 0.14268 0.2526724 0.8690566 -0.09741863 -0.2275364 -0.2438516 0.09195879 0.2546199 -0.2883562 0.151804 -0.1352105 -0.3686897 0.1826657 -0.2257733 -0.544533 0.1270739 -0.4004891 -0.2338551 -0.2883562 -0.231818
-65 650 -3.716317 -3.685764 -3.837282 -3.523344 -3.663481 -3.737173 -3.719113 -3.880799 -3.653566 -3.865102 -3.420806 -3.601878 -3.345454 -3.423255 -3.531908 -3.263505 -3.26254 -3.332528 -3.568813 -3.652071 -3.917881 -4.196821 -3.67102 -3.760247 -4.150021 -4.27204 -3.566534 -3.654181 -3.853009 -4.186644 -3.670887 -3.718543 -3.276759 -3.59977 -3.585106 -3.613243 -3.469155 -3.865152 -3.608248 -3.83222 -3.759553 -3.918581 -3.875693 -3.611528 -3.786602 -3.635357 -3.716855 -3.870089 -3.608248 -3.897093
-55 650 -3.540496 -3.347804 -3.571083 -3.310992 -3.423916 -3.51309 -3.535887 -3.621593 -3.44013 -3.553678 -3.168256 -3.309061 -3.006395 -3.216596 -3.319319 -3.134189 -3.048497 -3.027278 -3.330761 -3.27546 -3.669485 -3.864056 -3.48728 -3.559413 -3.905622 -3.872462 -3.435757 -3.560092 -3.665566 -3.882157 -3.424668 -3.428061 -3.003159 -3.371376 -3.371136 -3.402 -3.239227 -3.450408 -3.376333 -3.481274 -3.559094 -3.605518 -3.602714 -3.392828 -3.583256 -3.424507 -3.537093 -3.646107 -3.376333 -3.61257
-45 650 -3.165866 -2.944602 -3.213285 -2.908601 -3.00374 -3.133619 -3.225215 -3.188505 -2.976344 -3.137211 -2.756159 -2.912637 -2.581509 -2.835426 -2.912568 -2.771586 -2.718855 -2.633784 -2.903934 -2.82863 -3.272481 -3.494429 -3.172541 -3.148454 -3.583401 -3.323027 -3.196387 -3.266937 -3.298068 -3.4434 -3.013352 -3.082667 -2.703268 -2.95384 -3.104565 -3.030053 -2.959937 -2.977836 -2.947385 -3.056549 -3.177879 -3.290668 -3.18562 -2.951461 -3.310814 -3.085684 -3.276155 -3.2336 -2.947385 -3.228166
-35 650 -2.841789 -2.631871 -3.103481 -2.759728 -2.924799 -2.846671 -3.023314 -3.010386 -2.612872 -2.869081 -2.396712 -2.600344 -2.331107 -2.660801 -2.768887 -2.622672 -2.510273 -2.459842 -2.667958 -2.389549 -2.852917 -3.078009 -3.066948 -2.931532 -3.406378 -2.949761 -3.020037 -3.057363 -3.174993 -3.147037 -2.661313 -2.682193 -2.498909 -2.772235 -2.960748 -2.790659 -2.69273 -2.695147 -2.772382 -2.645841 -2.839615 -2.922206 -3.054598 -2.737163 -3.08952 -2.82265 -3.062483 -3.031435 -2.772382 -2.945254
-25 650 -2.396681 -1.95298 -2.834704 -2.313693 -2.521998 -2.361835 -2.577226 -2.54524 -2.297466 -2.160216 -2.330653 -2.246026 -2.396795 -2.252486 -2.490899 -2.492072 -2.396241 -2.427467 -2.381806 -1.928963 -2.362739 -2.260742 -2.87936 -2.375989 -2.859797 -2.709992 -2.630982 -2.739087 -2.478203 -2.379252 -2.338208 -2.270623 -2.479203 -2.291546 -2.657948 -2.506227 -2.462493 -2.45886 -2.41877 -2.039724 -2.355885 -2.220594 -2.833239 -2.210333 -2.653122 -2.514337 -2.647767 -2.679583 -2.41877 -2.31406
-15 650 -2.051503 -1.704607 -2.371962 -1.930232 -2.257262 -1.963393 -2.065255 -2.068013 -1.696961 -1.829661 -2.003558 -1.902791 -2.109698 -1.794402 -2.329354 -2.11054 -2.036062 -2.089786 -1.907181 -1.702036 -1.881133 -1.808938 -2.371364 -1.892418 -2.254609 -2.287684 -2.099332 -2.224822 -1.84275 -2.044245 -1.940807 -1.944619 -2.140967 -1.83259 -2.325307 -2.10659 -2.027099 -2.025695 -1.851398 -1.760234 -1.880214 -1.816075 -2.30178 -1.746859 -2.167225 -2.082005 -2.065106 -2.134741 -1.851398 -2.007842
-5 650 -1.041452 -0.4547419 -1.185817 -0.7526831 -0.9302858 -0.951597 -0.9954541 -1.046054 0.3099835 -0.5385315 -0.9403891 -0.9036407 -0.7072721 -0.4378719 -1.214299 -0.8393518 -1.057673 -1.060122 -0.7351303 -0.4843387 -0.3223042 0.06303664 -0.7287341 -0.1459179 -0.3900494 -1.003173 -0.6242161 -0.5004979 0.1594137 -0.3901048 -0.6575892 -0.6508233 -0.6624596 -0.4599522 -0.4071338 -1.050181 -0.893981 -0.8498634 -0.2109351 -0.3712854 -0.2724423 0.03586954 -0.6754581 -0.4136629 -0.3593141 -0.9367488 -0.609597 -0.433307 -0.2109351 -0.4501836
5 650 -0.9349186 -1.174245 -1.028073 -0.7840752 -1.28639 -1.024679 -1.045855 -1.078348 -0.01825968 -0.5195081 -0.9265191 -0.9277053 -0.7442569 -0.699712 -0.8481186 -0.9241657 -0.8805692 -0.8644145 -0.4812981 -0.7988074 -1.00196 -1.007612 -1.016147 -0.752644 -0.999004 -1.226004 -0.8426109 -0.9236348 -0.3624076 -1.013949 -0.8832094 -1.003786 -0.777226 -0.6623638 -1.246569 -0.9575168 -0.9356581 -0.9162597 -0.3580246 -0.8437494 -0.7419842 -1.037087 -0.9550336 -0.6007019 -1.072037 -1.008061 -0.863006 -0.94216 -0.3580246 -1.008229
15 650 -1.065945 -1.029516 -0.9865707 -0.8280568 -1.429747 -0.7772673 -0.8117462 -0.8810678 -0.5009839 -0.7128175 -0.678755 -0.707493 -0.4557401 -0.6705196 -0.789496 -0.5861829 -0.4591357 -0.4949762 -0.5280513 -0.5696329 -0.9454167 -1.021457 -0.8007385 -1.005358 -1.124525 -0.9099094 -0.7331895 -0.8045057 -0.6669523 -1.056424 -0.8236779 -0.8554228 -0.5666348 -0.7319001 -1.319794 -0.689982 -0.5852721 -0.6966604 -0.631057 -0.7703083 -0.9426974 -1.029831 -0.7739309 -0.7249133 -1.179772 -0.8429416 -0.7583109 -0.9050128 -0.631057 -1.028306
25 650 -0.1697391 -0.4691563 -0.3619245 -0.01813174 -0.6075035 -0.03045279 -0.09389209 -0.1095659 -0.09139628 -0.05665577 0.3518401 0.1196536 0.3964167 0.224872 -0.2388448 0.2490808 0.2741827 0.3234056 0.2202947 0.2214161 0.01813644 -0.437674 -0.1348863 -0.130342 -0.3794391 -0.1111323 -0.06394553 -0.106615 -0.0219948 -0.2661756 0.1515081 -0.05880649 0.2005439 0.1160648 -0.3449537 -0.02928953 0.1334952 0.1249977 -0.0227837 0.04477904 -0.03070574 -0.4253785 -0.09371876 0.05507335 -0.3049691 -0.06861229 -0.1137286 -0.1791796 -0.0227837 -0.209155
35 650 0.09028848 0.2425887 0.1179245 0.2715617 -0.3946252 0.4761929 0.3020895 0.3780922 0.2453724 0.3446299 0.7094274 1.11987 1.14087 0.6762464 0.07403373 0.8312891 0.8841364 0.9465578 0.7742967 0.875105 0.2076437 0.1151779 0.496276 0.1711078 -0.1730301 0.3165404 0.3524664 0.3668353 0.1617265 0.0928578 0.4197828 0.7946493 0.9012582 0.341979 -0.04968315 0.4546081 0.6352516 0.7305898 0.2823744 0.5804156 0.1345911 0.1782323 0.5174823 0.2774194 -0.1784528 0.4511328 0.2783597 0.3430058 0.2823744 0.1912206
45 650 0.6796703 0.6450878 0.3272279 0.8078517 0.1629629 0.7934367 0.5152167 0.5940757 0.589627 0.6424997 1.183592 1.366959 1.389303 1.260518 1.139885 1.176886 1.057653 1.175834 1.264369 1.207392 0.5899473 0.3881411 0.6596337 0.6581268 0.3741324 0.5415876 0.4821241 0.5689259 0.5890362 0.3521503 0.8932871 1.122833 1.124697 0.8315776 0.5498647 0.7000091 0.8122342 0.9379105 0.6384953 0.8676253 0.6284758 0.4983595 0.669593 0.7680432 0.273116 0.716441 0.4550215 0.5619953 0.6384953 0.4822805
55 650 1.233035 1.094246 1.365734 1.538298 0.6800895 1.230829 0.989679 1.020576 1.025491 1.125983 1.939085 1.746893 2.526184 1.945931 2.013806 1.708624 1.657205 1.780093 2.148083 1.875607 1.11457 0.7661471 1.497656 1.269103 0.9691801 0.8438191 0.9020848 0.9418742 1.271069 0.9221175 1.494226 1.579252 2.222917 1.396953 1.267679 1.028543 1.328412 1.424567 1.106971 1.392517 1.113361 0.936396 1.519222 1.354515 0.8376849 1.325301 0.8937433 0.9215079 1.106971 0.9678262
65 650 0.406163 0.2321658 0.3195943 0.4738207 -0.2262402 0.2331136 0.2214792 0.2349564 -0.002879127 0.5413485 1.054354 1.032178 1.906847 0.9366237 1.477827 1.229766 1.187302 1.324797 1.360862 1.365182 0.3083783 -0.05360761 0.9050911 0.1318979 0.1525825 0.4022464 0.246813 0.3649359 0.4456298 0.4362635 0.7302497 0.7508211 1.636446 0.3038719 0.3849745 -0.03219756 0.7419353 0.8533101 0.130381 0.7935926 0.4297382 0.1473245 0.9187897 0.2222125 0.07705925 0.5515209 0.2477129 0.3875349 0.130381 0.4338553
75 650 0.02847378 -0.4274756 -0.3430642 0.0322811 -0.8207602 -0.4907313 -0.3309185 -0.1434127 -0.2715952 -0.02684147 0.6103623 0.6227467 1.268843 0.6774563 0.7594676 0.9270283 0.7318695 0.9713934 0.8983464 0.933515 -0.2136621 -0.6132049 0.2796769 -0.3714197 -0.3246985 -0.1590993 -0.2869252 0.002095705 -0.07581238 -0.08300799 0.2251376 0.2082687 0.9246501 -0.008795376 -0.1786066 -0.3298993 0.174509 0.4497836 -0.2241284 0.2211872 -0.006916956 -0.4870062 0.1813921 -0.1848749 -0.4591668 0.1505035 -0.2882215 -0.01577026 -0.2241284 -0.1330978
-65 750 -3.87225 -3.774696 -3.90268 -3.64853 -3.791733 -3.815639 -3.776932 -3.94493 -3.756335 -3.93228 -3.572415 -3.668589 -3.435343 -3.55479 -3.702557 -3.349341 -3.330793 -3.482018 -3.682525 -3.732 -4.077132 -4.2948 -3.71564 -3.897632 -4.246093 -4.4567 -3.609776 -3.656883 -3.962783 -4.248356 -3.843733 -3.76279 -3.340388 -3.735731 -3.738456 -3.682823 -3.559814 -4.017868 -3.722585 -3.908295 -3.919599 -3.971367 -3.948131 -3.746793 -3.892286 -3.702729 -3.772512 -3.933494 -3.722585 -3.959202
-55 750 -3.697531 -3.54016 -3.679247 -3.465533 -3.562359 -3.618925 -3.604992 -3.727361 -3.562732 -3.707463 -3.31786 -3.401632 -3.127919 -3.371328 -3.431538 -3.214416 -3.123518 -3.152253 -3.465317 -3.432266 -3.856032 -4.088666 -3.576762 -3.733072 -4.046193 -4.0272 -3.49039 -3.623249 -3.798201 -4.0239 -3.610089 -3.484341 -3.094167 -3.539188 -3.47625 -3.517089 -3.329776 -3.617811 -3.501536 -3.635242 -3.732071 -3.76198 -3.722918 -3.565431 -3.707731 -3.497358 -3.600491 -3.741232 -3.501536 -3.737349
-45 750 -3.354402 -3.108024 -3.31058 -3.061881 -3.178787 -3.330376 -3.344143 -3.38057 -3.168282 -3.26853 -2.83285 -2.905738 -2.676146 -2.968672 -3.049372 -2.888932 -2.829605 -2.770812 -3.035296 -3.016726 -3.387272 -3.670648 -3.238034 -3.304291 -3.779353 -3.512635 -3.270734 -3.379865 -3.446823 -3.604534 -3.186779 -3.050298 -2.781393 -3.119676 -3.21138 -3.206067 -3.050921 -3.168571 -3.131422 -3.214083 -3.365328 -3.392718 -3.28677 -3.122598 -3.46171 -3.215119 -3.368162 -3.401515 -3.131422 -3.35871
-35 750 -2.980764 -2.800201 -3.182209 -2.909167 -3.117471 -2.955346 -3.118528 -3.1269 -2.777348 -2.995246 -2.460467 -2.417351 -2.262597 -2.790493 -2.909248 -2.635434 -2.576772 -2.482629 -2.810887 -2.516023 -2.999518 -3.332377 -3.121742 -3.133279 -3.657092 -2.926533 -3.123559 -3.138377 -3.436876 -3.320142 -2.804667 -2.561996 -2.443226 -2.953107 -3.081034 -2.769994 -2.765653 -2.752702 -2.894648 -2.782732 -3.01419 -3.086972 -3.152081 -2.933648 -3.330251 -2.852832 -3.173023 -3.122916 -2.894648 -3.047145
-25 750 -2.480787 -2.199749 -2.885398 -2.331481 -2.584675 -2.555438 -2.703963 -2.639746 -2.36753 -2.387082 -2.313602 -2.346388 -2.424534 -2.209092 -2.521472 -2.59049 -2.425875 -2.473481 -2.358646 -2.114447 -2.411103 -2.535615 -2.899204 -2.38192 -2.930611 -2.768777 -2.669776 -2.748569 -2.519079 -2.581012 -2.3176 -2.402958 -2.468765 -2.296213 -2.619659 -2.577198 -2.482597 -2.511644 -2.371525 -2.236495 -2.387957 -2.43349 -2.878297 -2.240347 -2.696154 -2.589843 -2.714118 -2.717667 -2.371525 -2.490977
-15 750 -2.071828 -1.907876 -2.418048 -1.885705 -2.295679 -2.125302 -2.156278 -2.177697 -1.839563 -1.976679 -2.043698 -2.204481 -2.144079 -1.761423 -2.314268 -2.224311 -2.108137 -2.221797 -1.988467 -1.776687 -1.899393 -2.059854 -2.424066 -1.87791 -2.193126 -2.398368 -2.177275 -2.307575 -1.947182 -2.131697 -1.949384 -2.227943 -2.174589 -1.794135 -2.252897 -2.239383 -2.106634 -2.173125 -1.908064 -1.856003 -1.891659 -2.034327 -2.373735 -1.737258 -2.123637 -2.178485 -2.155468 -2.223186 -1.908064 -2.089043
-5 750 -0.9521985 -0.5029231 -0.8537752 -0.4417327 -0.827014 -0.7945215 -0.9038553 -0.8879003 0.2628674 0.01603022 -1.083837 -1.180105 -0.7064178 -0.4094638 -1.016445 -0.5863398 -1.034545 -0.9565892 -0.6696385 -0.2635255 -0.3448173 0.1278866 -0.405834 0.04636365 -0.162477 -0.7168795 -0.5401709 -0.2555544 0.2824758 -0.05777237 -0.6446722 -0.8075221 -0.5458692 -0.3391549 -0.1407065 -0.728476 -0.857095 -0.7323428 -0.1147465 -0.1211413 -0.1581247 0.0621093 -0.453163 -0.1419 -0.1548952 -0.6581593 -0.5055268 -0.1877083 -0.1147465 -0.1375054
5 750 -0.7266619 -1.29385 -0.733824 -0.6523385 -1.164127 -0.9859385 -0.9534059 -0.932062 0.1503269 -0.1395321 -0.7667919 -1.193249 -0.4680901 -0.5457712 -0.4931535 -0.785597 -0.7192598 -0.638968 -0.1236596 -0.3258802 -0.8337256 -1.217001 -0.7470007 -0.5960587 -0.8365064 -1.112206 -0.7406926 -0.8385532 -0.02081589 -0.531577 -0.7325599 -1.179056 -0.5597494 -0.5022688 -1.119532 -0.7824863 -0.7974441 -0.8044347 -0.1555121 -0.4150364 -0.5355357 -1.234137 -0.7073857 -0.4638238 -0.797048 -0.9244976 -0.744095 -0.8339938 -0.1555121 -0.5375569
15 750 -0.9117787 -0.4816327 -0.599764 -0.7077593 -1.194449 -0.526034 -0.5892254 -0.5690031 -0.4558933 -0.4045995 -0.3627427 -0.1254189 -0.02221459 -0.4352508 0.2671383 -0.2411394 -0.1729488 -0.05525287 -0.2400791 -0.05882192 -0.7482551 -0.4482878 -0.4597522 -0.8205597 -0.8110663 -0.6215884 -0.4695405 -0.4435446 -0.5218226 -0.6359255 -0.6240354 -0.1739037 -0.2053531 -0.5921487 -0.9127543 -0.4216723 -0.321236 -0.317432 -0.5462422 -0.3550697 -0.7821619 -0.443527 -0.4427395 -0.5977166 -0.8452 -0.5410818 -0.5055712 -0.5501848 -0.5462422 -0.5811296
25 750 0.02771804 -0.1745364 -0.2013998 0.1661448 -0.4819372 0.02869213 -0.04341592 -0.03277261 0.0518944 0.05611519 0.7264281 0.6720052 0.6907158 0.4953136 0.2938658 0.3870663 0.4570904 0.5591993 0.5737422 0.5065103 0.07902815 -0.1833182 0.03336361 -0.00188711 -0.1647671 -0.07238893 -0.02458812 -0.01494716 0.09185724 -0.1722838 0.3926928 0.4312826 0.4737359 0.2533273 -0.1202748 0.03997567 0.2561864 0.3076101 0.1165925 0.2179759 0.08011113 -0.1374372 0.0584579 0.1780359 -0.2341206 0.01503085 -0.06465039 -0.0819485 0.1165925 -0.1121094
35 750 0.3868698 0.5451245 0.3769333 0.559975 0.02939971 0.7292522 0.4854601 0.6831246 0.5035363 0.5456879 1.092831 1.498777 1.551844 1.009097 0.9834405 1.097316 1.164175 1.336767 1.252291 1.231839 0.4062096 0.2816571 0.7469211 0.4149795 0.3281773 0.4955731 0.4662667 0.5507397 0.4806493 0.3318491 0.736891 1.14222 1.238922 0.5750461 0.5201083 0.6902657 0.8266021 1.032909 0.5107885 0.7955461 0.3846439 0.4212216 0.7646257 0.5400948 0.1834457 0.6855501 0.449245 0.6188605 0.5107885 0.4051476
45 750 0.9114121 0.9973602 0.6182308 0.9961607 0.4249434 1.010514 0.6845447 0.8337763 0.7438682 0.8411438 1.484902 1.705221 1.79319 1.542403 1.668251 1.416967 1.31919 1.484872 1.614641 1.566754 0.7603235 0.59551 0.8856752 0.8642331 0.7132585 0.7494823 0.6509216 0.796106 0.8601247 0.5955974 1.128994 1.551041 1.467266 1.009785 0.930779 0.8778069 0.999483 1.1904 0.781492 1.08698 0.8427026 0.7914289 0.915072 0.9456145 0.5334635 0.9382991 0.6289987 0.7984065 0.781492 0.6931448
55 750 1.615541 1.680738 1.686065 1.899185 1.140159 1.464219 1.15453 1.297013 1.302556 1.612091 2.358517 2.069299 2.95184 2.460603 2.736117 1.991055 1.877339 2.100116 2.668193 2.383093 1.484697 1.184121 1.847332 1.719976 1.364088 1.129521 1.06402 1.216154 1.761538 1.398857 1.928226 2.147848 2.665227 1.76741 1.877174 1.252807 1.510444 1.734062 1.417573 1.856055 1.531021 1.465226 1.846539 1.702632 1.253483 1.58859 1.075197 1.214335 1.417573 1.44853
