date co2 co2fill trend iav seasonal remainder total
JAN1984 344.03 344.03 343.272 0.731 -0.138 0.165 343.865
FEB1984 344.69 344.69 343.416 0.675 0.522 0.076 344.614
MAR1984 345.62 345.62 343.56 0.62 1.481 -0.041 345.661
APR1984 346.92 346.92 343.704 0.565 2.64 0.011 346.909
MAY1984 347.49 347.49 343.847 0.511 3.224 -0.093 347.583
JUN1984 346.73 346.73 343.991 0.457 2.479 -0.197 346.927
JUL1984 345.2 345.2 344.135 0.403 0.547 0.115 345.085
AUG1984 342.96 342.96 344.279 0.35 -1.72 0.051 342.909
SEP1984 341.4 341.4 344.423 0.297 -3.125 -0.195 341.595
OCT1984 341.79 341.79 344.567 0.244 -3.115 0.095 341.695
NOV1984 343.08 343.08 344.71 0.193 -1.915 0.091 342.989
DEC1984 343.99 343.99 344.854 0.143 -0.85 -0.157 344.147
JAN1985 344.68 344.68 344.998 0.093 -0.143 -0.267 344.947
FEB1985 345.74 345.74 345.142 0.05 0.501 0.047 345.693
MAR1985 346.95 346.95 345.286 0.007 1.46 0.197 346.753
APR1985 347.89 347.89 345.429 -0.036 2.646 -0.149 348.039
MAY1985 348.67 348.67 345.573 -0.078 3.246 -0.07 348.74
JUN1985 348.29 348.29 345.717 -0.121 2.498 0.195 348.095
JUL1985 346.29 346.29 345.861 -0.163 0.538 0.055 346.235
AUG1985 343.99 343.99 346.004 -0.205 -1.708 -0.101 344.091
SEP1985 342.88 342.88 346.148 -0.247 -3.088 0.067 342.813
OCT1985 342.94 342.94 346.292 -0.289 -3.108 0.045 342.895
NOV1985 344.14 344.14 346.436 -0.336 -1.899 -0.061 344.201
DEC1985 345.4 345.4 346.58 -0.382 -0.805 0.007 345.393
JAN1986 346.2 346.2 346.723 -0.428 -0.196 0.101 346.099
FEB1986 346.71 346.71 346.867 -0.47 0.409 -0.096 346.806
MAR1986 347.78 347.78 347.011 -0.513 1.374 -0.092 347.872
APR1986 349.39 349.39 347.153 -0.555 2.626 0.166 349.224
MAY1986 350.05 350.05 347.296 -0.584 3.287 0.051 349.999
JUN1986 349.16 349.16 347.439 -0.613 2.548 -0.214 349.374
JUL1986 347.14 347.14 347.581 -0.642 0.462 -0.261 347.401
AUG1986 345.34 345.34 347.724 -0.649 -1.735 0 345.34
SEP1986 344.13 344.13 347.866 -0.655 -3.018 -0.063 344.193
OCT1986 343.89 343.89 348.009 -0.661 -3.155 -0.303 344.193
NOV1986 345.45 345.45 348.152 -0.635 -1.941 -0.125 345.575
DEC1986 346.92 346.92 348.294 -0.609 -0.746 -0.019 346.939
JAN1987 347.59 347.59 348.437 -0.584 -0.148 -0.115 347.705
FEB1987 348.33 348.33 348.579 -0.526 0.443 -0.166 348.496
MAR1987 349.34 349.34 348.722 -0.469 1.341 -0.254 349.594
APR1987 350.82 350.82 348.865 -0.412 2.599 -0.232 351.052
MAY1987 351.85 351.85 349.006 -0.333 3.23 -0.053 351.903
JUN1987 351.47 351.47 349.147 -0.254 2.484 0.093 351.377
JUL1987 349.69 349.69 349.288 -0.175 0.536 0.04 349.65
AUG1987 347.54 347.54 349.43 -0.088 -1.71 -0.091 347.631
SEP1987 346.51 346.51 349.571 -0.001 -3.066 0.006 346.504
OCT1987 346.87 346.87 349.712 0.085 -3.071 0.143 346.727
NOV1987 348.16 348.16 349.853 0.166 -1.97 0.111 348.049
DEC1987 349.46 349.46 349.995 0.247 -0.762 -0.019 349.479
JAN1988 350.33 350.33 350.136 0.327 -0.058 -0.075 350.405
FEB1988 351.39 351.39 350.277 0.387 0.541 0.185 351.205
MAR1988 352.56 352.56 350.418 0.447 1.379 0.316 352.244
APR1988 353.75 353.75 350.56 0.507 2.58 0.103 353.647
MAY1988 354.38 354.38 350.701 0.538 3.147 -0.006 354.386
JUN1988 353.86 353.86 350.841 0.569 2.434 0.016 353.844
JUL1988 352.36 352.36 350.981 0.6 0.708 0.071 352.289
AUG1988 350.16 350.16 351.121 0.609 -1.739 0.169 349.991
SEP1988 348.81 348.81 351.261 0.617 -3.299 0.23 348.58
OCT1988 349.13 349.13 351.401 0.626 -3.11 0.213 348.917
NOV1988 350.13 350.13 351.541 0.618 -1.998 -0.031 350.161
DEC1988 351.58 351.58 351.681 0.61 -0.773 0.061 351.519
