lat prs camp flt x yday
65 550 24 2 6.630611 117
75 550 24 2 6.675654 116.5179
35 650 24 2 4.024155 116
45 650 24 2 4.884285 116
55 650 24 2 5.65181 116
65 650 24 2 6.9971 117
75 650 24 2 7.672575 116.4921
35 750 24 2 4.57813 116
45 750 24 2 5.416158 116
55 750 24 2 6.444888 116
65 750 24 2 7.068632 117
75 750 24 2 7.966099 116.5172
35 850 24 2 5.21854 116
45 850 24 2 6.180032 116
55 850 24 2 6.989462 116
65 850 24 2 7.198485 117
75 850 24 2 7.826435 116.4468
35 950 24 2 5.688342 116
45 950 24 2 6.387298 116
55 950 24 2 7.305258 116
65 950 24 2 7.494569 117
75 950 24 2 8.255489 116.6042
25 350 21 3 -0.9016692 216
35 350 21 3 -1.100204 215.2836
45 350 21 3 -3.553795 215
55 350 21 3 -4.083124 215
65 350 21 3 -5.463176 215
25 450 21 3 -0.6263395 216
35 450 21 3 -0.7190949 215.3061
45 450 21 3 -3.21014 215
55 450 21 3 -4.271886 215
65 450 21 3 -6.713297 215
25 550 21 3 -0.6727756 216
35 550 21 3 -0.9387806 215.4583
45 550 21 3 -2.698967 215
55 550 21 3 -4.774701 215
65 550 21 3 -8.341639 215
25 650 21 3 -0.4898567 216
35 650 21 3 -1.83507 215.2836
45 650 21 3 -2.171078 215
55 650 21 3 -3.911407 215
65 650 21 3 -7.759645 215
25 750 21 3 -0.5883483 216
35 750 21 3 -2.394162 215.5333
45 750 21 3 -1.937151 215
55 750 21 3 -3.014875 215
65 750 21 3 -7.010059 215
35 850 21 3 -3.072272 215.4884
45 850 21 3 -1.908209 215
55 850 21 3 -2.144299 215
65 850 21 3 -7.731981 215
35 950 21 3 -3.310094 215.4865
45 950 21 3 -1.703762 215
55 950 21 3 -2.584505 215
25 350 22 3 0.4374293 32
35 350 22 3 1.55028 32
45 350 22 3 1.836099 31
55 350 22 3 2.177149 31
65 350 22 3 2.217208 31
25 450 22 3 0.2755243 32
35 450 22 3 2.125277 32
45 450 22 3 2.855258 31
55 450 22 3 3.358741 31
65 450 22 3 2.606415 31
25 550 22 3 1.42103 32
35 550 22 3 3.362325 32
45 550 22 3 3.975344 31
55 550 22 3 4.243158 31
65 550 22 3 4.016408 31
25 650 22 3 1.570791 32
35 650 22 3 3.996808 32
45 650 22 3 4.506965 31
55 650 22 3 4.77584 31
65 650 22 3 4.703192 31
15 750 22 3 1.058188 32
25 750 22 3 2.496111 32
35 750 22 3 5.025469 32
45 750 22 3 5.033612 31
55 750 22 3 5.220019 31
65 750 22 3 4.610248 31
15 850 22 3 2.674296 32
25 850 22 3 3.424099 32
35 850 22 3 5.069467 32
45 850 22 3 5.581089 31
55 850 22 3 6.39418 31
65 850 22 3 4.589919 31
15 950 22 3 3.469373 32
25 950 22 3 3.994187 32
35 950 22 3 4.796031 32
45 950 22 3 4.900713 31
55 950 22 3 7.877327 31
25 350 23 3 -3.325373 277
35 350 23 3 -2.657907 276
45 350 23 3 -2.524445 276
55 350 23 3 -3.017167 276
65 350 23 3 -3.486329 276
25 450 23 3 -3.271206 277
35 450 23 3 -2.902264 276
45 450 23 3 -3.087355 276
55 450 23 3 -3.245803 276
65 450 23 3 -3.371815 276
25 550 23 3 -3.370354 276.3438
35 550 23 3 -3.150518 276
45 550 23 3 -3.436663 276
55 550 23 3 -3.430421 276
25 650 23 3 -3.396106 276.45
35 650 23 3 -3.431261 276
45 650 23 3 -3.585659 276
55 650 23 3 -3.150066 276
25 750 23 3 -3.523801 276.4571
35 750 23 3 -3.260551 276
45 750 23 3 -3.54407 276
55 750 23 3 -2.370588 276
25 850 23 3 -3.796902 276.4138
35 850 23 3 -2.525839 276
45 850 23 3 -2.885874 276
55 850 23 3 -0.2082287 276
25 950 23 3 -3.826201 276
35 950 23 3 -2.25686 276
45 950 23 3 -1.115615 276
55 950 23 3 -0.5129707 276
25 350 24 3 4.529987 119
35 350 24 3 4.279058 118
45 350 24 3 3.929194 118
55 350 24 3 2.819315 118
65 350 24 3 2.944135 118
25 450 24 3 3.76191 118.7843
35 450 24 3 4.895155 118
45 450 24 3 3.74028 118
55 450 24 3 3.619697 118
65 450 24 3 3.625195 118
25 550 24 3 3.695295 118.75
35 550 24 3 5.527616 118
45 550 24 3 3.872869 118
55 550 24 3 3.856464 118
65 550 24 3 4.549904 118
25 650 24 3 4.083121 118.6809
35 650 24 3 5.838501 118
45 650 24 3 4.031514 118
55 650 24 3 4.314605 118
65 650 24 3 5.291003 118
25 750 24 3 4.835822 118.6667
35 750 24 3 5.913821 118
45 750 24 3 4.540992 118
55 750 24 3 5.127608 118
25 850 24 3 5.416366 118.6757
35 850 24 3 5.965529 118
45 850 24 3 5.435171 118
55 850 24 3 6.053538 118
15 950 24 3 4.916815 119
25 950 24 3 5.831684 118.7877
35 950 24 3 5.860812 118
45 950 24 3 5.651484 118
55 950 24 3 6.649344 118
-15 350 21 4 -0.768318 219
-5 350 21 4 -0.7011567 218.6834
5 350 21 4 -0.5960013 218
15 350 21 4 -1.069671 218
-15 450 21 4 -0.8177522 219
-5 450 21 4 -0.8297014 218.6023
5 450 21 4 -0.7363966 218
15 450 21 4 -0.6314443 218
-15 550 21 4 -0.9319259 219
-5 550 21 4 -0.7966436 218.5915
5 550 21 4 -0.6152798 218
15 550 21 4 -0.6163684 218
-15 650 21 4 -0.9548566 219
-5 650 21 4 -0.7005695 218.4068
5 650 21 4 -0.561634 218
15 650 21 4 -0.6182311 218
-15 750 21 4 -1.00611 219
-5 750 21 4 -0.6480172 218.525
5 750 21 4 -0.6186061 218
15 750 21 4 -0.7552652 218
-15 850 21 4 -0.9257006 219
-5 850 21 4 -0.7628944 218.4444
5 850 21 4 -0.7649385 218
15 850 21 4 -1.25731 218
-15 950 21 4 -0.8773687 219
-5 950 21 4 -0.7585448 218.4255
