lat prs camp flt x yday
65 550 24 2 7.333522 117
75 550 24 2 6.928222 116.5179
35 650 24 2 4.503425 116
45 650 24 2 5.041851 116
55 650 24 2 6.322702 116
65 650 24 2 7.530572 117
75 650 24 2 7.340866 116.4921
35 750 24 2 4.95876 116
45 750 24 2 5.517483 116
55 750 24 2 6.768855 116
65 750 24 2 7.59212 117
75 750 24 2 7.611934 116.5172
35 850 24 2 5.325625 116
45 850 24 2 5.68722 116
55 850 24 2 7.228383 116
65 850 24 2 7.579916 117
75 850 24 2 7.71382 116.4468
35 950 24 2 5.259889 116
45 950 24 2 5.431595 116
55 950 24 2 7.495898 116
65 950 24 2 7.438327 117
75 950 24 2 8.024903 116.6042
25 350 21 3 -1.133896 216
35 350 21 3 -1.21515 215.2836
45 350 21 3 -3.66683 215
55 350 21 3 -5.126915 215
65 350 21 3 -7.184903 215
25 450 21 3 -0.8561979 216
35 450 21 3 -0.9156724 215.3061
45 450 21 3 -3.789697 215
55 450 21 3 -4.60647 215
65 450 21 3 -8.54432 215
25 550 21 3 -0.8948756 216
35 550 21 3 -1.15947 215.4583
45 550 21 3 -3.232011 215
55 550 21 3 -4.686659 215
65 550 21 3 -9.001461 215
25 650 21 3 -0.6607083 216
35 650 21 3 -1.552591 215.2836
45 650 21 3 -2.41325 215
55 650 21 3 -4.796558 215
65 650 21 3 -8.275414 215
25 750 21 3 -0.7639045 216
35 750 21 3 -2.590159 215.5333
45 750 21 3 -2.166407 215
55 750 21 3 -4.783594 215
65 750 21 3 -7.800449 215
35 850 21 3 -3.162026 215.4884
45 850 21 3 -2.136184 215
55 850 21 3 -4.455816 215
65 850 21 3 -8.040438 215
35 950 21 3 -3.280183 215.4865
45 950 21 3 -1.824996 215
55 950 21 3 -3.468341 215
25 350 22 3 1.553104 32
35 350 22 3 2.553374 32
45 350 22 3 2.660986 31
55 350 22 3 2.752603 31
65 350 22 3 2.972374 31
25 450 22 3 0.915679 32
35 450 22 3 2.807714 32
45 450 22 3 3.472176 31
55 450 22 3 3.707106 31
65 450 22 3 3.429265 31
25 550 22 3 1.567752 32
35 550 22 3 3.116456 32
45 550 22 3 3.871707 31
55 550 22 3 4.170118 31
65 550 22 3 4.514566 31
25 650 22 3 1.747545 32
35 650 22 3 3.647655 32
45 650 22 3 4.263035 31
55 650 22 3 4.619949 31
65 650 22 3 4.945152 31
15 750 22 3 1.915942 32
25 750 22 3 2.962658 32
35 750 22 3 4.577582 32
45 750 22 3 4.848276 31
55 750 22 3 5.172872 31
65 750 22 3 5.031905 31
15 850 22 3 2.980096 32
25 850 22 3 3.538077 32
35 850 22 3 5.02725 32
45 850 22 3 5.519592 31
55 850 22 3 5.998544 31
65 850 22 3 5.055077 31
15 950 22 3 3.449956 32
25 950 22 3 4.098166 32
35 950 22 3 5.041622 32
45 950 22 3 5.460423 31
55 950 22 3 6.87858 31
25 350 23 3 -3.380395 277
35 350 23 3 -3.231551 276
45 350 23 3 -3.133055 276
55 350 23 3 -2.963217 276
65 350 23 3 -3.50778 276
25 450 23 3 -3.218856 277
35 450 23 3 -3.216258 276
45 450 23 3 -3.314475 276
55 450 23 3 -3.151593 276
65 450 23 3 -3.359548 276
25 550 23 3 -3.355882 276.3438
35 550 23 3 -3.162284 276
45 550 23 3 -3.382752 276
55 550 23 3 -3.254169 276
25 650 23 3 -3.464313 276.45
35 650 23 3 -3.250364 276
45 650 23 3 -3.545109 276
55 650 23 3 -3.05966 276
25 750 23 3 -3.677429 276.4571
35 750 23 3 -3.194635 276
45 750 23 3 -3.43064 276
55 750 23 3 -2.539905 276
25 850 23 3 -3.77345 276.4138
35 850 23 3 -2.682113 276
45 850 23 3 -2.061388 276
55 850 23 3 -1.727624 276
25 950 23 3 -3.687734 276
35 950 23 3 -2.099399 276
45 950 23 3 1.011692 276
55 950 23 3 -1.132355 276
25 350 24 3 3.326534 119
35 350 24 3 4.360739 118
45 350 24 3 3.623499 118
55 350 24 3 3.108923 118
65 350 24 3 3.156294 118
