lat prs camp flt x yday
5 350 21 1 -0.1985244 210
15 350 21 1 -0.274867 210
25 350 21 1 -0.837655 210
35 350 21 1 -0.5204086 210
5 450 21 1 0.06442476 210
15 450 21 1 -0.3247643 210
25 450 21 1 -0.9825159 210
5 550 21 1 0.1808034 210
15 550 21 1 -0.5067726 210
25 550 21 1 -1.117449 210
5 650 21 1 0.3141693 210
15 650 21 1 -0.4544921 210
25 650 21 1 -1.554564 210
5 750 21 1 0.6655562 210
15 750 21 1 -0.3211335 210
5 850 21 1 0.3307409 210
15 850 21 1 -0.1816987 210
25 850 21 1 0.4302168 210
5 950 21 1 -0.09164093 210
15 950 21 1 -0.1824994 210
25 950 21 1 0.3916284 210
5 350 22 1 -1.817912 25
15 350 22 1 -1.484403 25.64151
25 350 22 1 -0.6860704 25.73333
35 350 22 1 -0.1769269 25.14894
5 450 22 1 -1.584522 25
15 450 22 1 -1.563011 25.5
25 450 22 1 -0.8656447 26
35 450 22 1 1.489913 26
5 550 22 1 -1.5781 25
15 550 22 1 -1.378824 25.51852
25 550 22 1 0.1843689 26
35 550 22 1 3.815454 26
5 650 22 1 -1.219235 25
15 650 22 1 -0.8089484 25.5
25 650 22 1 1.871326 26
35 650 22 1 4.732365 26
5 750 22 1 -1.271529 25
15 750 22 1 0.7613144 25.71429
25 750 22 1 3.34645 26
35 750 22 1 5.375836 26
5 850 22 1 -0.8954429 25
15 850 22 1 3.108655 26
25 850 22 1 4.393889 26
35 850 22 1 6.298487 26
5 950 22 1 -0.860392 25
15 950 22 1 3.768398 26
25 950 22 1 5.560067 26
-5 350 23 1 -2.1373 270
5 350 23 1 -2.396492 270
15 350 23 1 -3.473261 270
25 350 23 1 -3.54511 270
35 350 23 1 -4.316275 270.2581
-5 450 23 1 -2.294286 270
5 450 23 1 -2.47453 270
15 450 23 1 -3.783237 270
25 450 23 1 -4.126142 270
35 450 23 1 -4.054751 270.4923
-5 550 23 1 -2.291214 270
5 550 23 1 -2.506147 270
15 550 23 1 -3.597178 270
25 550 23 1 -4.3568 270
35 550 23 1 -4.369144 270.4688
5 650 23 1 -2.344756 270
15 650 23 1 -3.059687 270
25 650 23 1 -4.288245 270
35 650 23 1 -4.369562 270.4324
5 750 23 1 -2.402616 270
15 750 23 1 -1.730435 270
25 750 23 1 -3.947377 270
35 750 23 1 -2.925262 270.6154
5 850 23 1 -1.971867 270
15 850 23 1 -1.501868 270
25 850 23 1 -3.074452 270
35 850 23 1 -1.581203 270.66
5 950 23 1 -1.850654 270
15 950 23 1 -3.191902 270
25 950 23 1 -3.078029 270
35 950 23 1 -1.263234 270.9
5 350 24 1 0.3238479 113
15 350 24 1 1.123493 113
25 350 24 1 0.9155223 113
35 350 24 1 1.850171 113
5 450 24 1 0.3328011 113
15 450 24 1 1.310738 113
25 450 24 1 1.492354 113
35 450 24 1 2.801829 113
5 550 24 1 0.2895175 113
15 550 24 1 1.472599 113
25 550 24 1 2.078342 113
