lat prs camp flt x yday
5 350 21 1 -0.2219918 210
15 350 21 1 -0.1254856 210
25 350 21 1 0.05720563 210
35 350 21 1 -0.09844577 210
5 450 21 1 -0.1963527 210
15 450 21 1 -0.0667614 210
25 450 21 1 0.1257404 210
5 550 21 1 -0.2378404 210
15 550 21 1 -0.1086444 210
25 550 21 1 0.1549779 210
5 650 21 1 -0.4919269 210
15 650 21 1 -0.150419 210
25 650 21 1 0.1334201 210
5 750 21 1 -0.6827771 210
15 750 21 1 -0.205638 210
5 850 21 1 -0.9043067 210
15 850 21 1 -0.3293237 210
25 850 21 1 -0.1386409 210
5 950 21 1 -1.049086 210
15 950 21 1 -0.4426533 210
25 950 21 1 -1.211804 210
5 350 22 1 -1.463127 25
15 350 22 1 -0.653403 25.64151
25 350 22 1 0.4696396 25.73333
35 350 22 1 1.27228 25.14894
5 450 22 1 -1.288932 25
15 450 22 1 -0.9455142 25.5
25 450 22 1 0.0319343 26
35 450 22 1 2.367927 26
5 550 22 1 -1.104871 25
15 550 22 1 -0.6967199 25.51852
25 550 22 1 0.5621306 26
35 550 22 1 3.116402 26
5 650 22 1 -0.7559312 25
15 650 22 1 0.09865161 25.5
25 650 22 1 1.207309 26
35 650 22 1 3.65999 26
5 750 22 1 -0.6038891 25
15 750 22 1 0.832443 25.71429
25 750 22 1 2.428266 26
35 750 22 1 4.434489 26
5 850 22 1 -0.5239051 25
15 850 22 1 1.844515 26
25 850 22 1 3.759078 26
35 850 22 1 5.871882 26
5 950 22 1 -0.695383 25
15 950 22 1 2.354897 26
25 950 22 1 4.381049 26
-5 350 23 1 -2.09379 270
5 350 23 1 -2.490371 270
15 350 23 1 -2.961075 270
25 350 23 1 -2.885542 270
35 350 23 1 -3.539905 270.2581
-5 450 23 1 -2.123054 270
5 450 23 1 -2.43637 270
15 450 23 1 -3.160809 270
25 450 23 1 -3.020446 270
35 450 23 1 -3.747216 270.4923
-5 550 23 1 -2.134428 270
5 550 23 1 -2.483697 270
15 550 23 1 -3.316148 270
25 550 23 1 -3.298227 270
35 550 23 1 -4.022665 270.4688
5 650 23 1 -2.416375 270
15 650 23 1 -3.496083 270
25 650 23 1 -3.534153 270
35 650 23 1 -4.254548 270.4324
