startdate,stopdate,reason
2016-07-29 14:32:18,2016-07-29 14:34:48,takeoff
2016-07-29 23:46:19,2016-07-29 23:57:26,landing
2016-08-01 14:28:37,2016-08-01 14:31:12,takeoff
2016-08-01 22:20:38,2016-08-01 22:46:34,missedapproach
2016-08-01 23:24:00,2016-08-01 23:45:36,missedapproach
2016-08-02 00:28:48,2016-08-02 00:40:04,landing
2016-08-03 18:59:59,2016-08-03 19:02:38,takeoff
2016-08-04 02:09:36,2016-08-04 02:18:22,landing
2016-08-07 02:29:46,2016-08-07 02:35:23,landing
2016-08-09 01:24:57,2016-08-09 01:35:02,contbl
2016-08-12 22:14:09,2016-08-12 22:17:05,takeoff
2016-08-13 08:52:48,2016-08-13 08:55:05,landing
2016-08-15 10:27:36,2016-08-15 10:29:17,takeoff
2016-08-15 19:37:55,2016-08-15 19:52:32,landing
2016-08-17 08:03:25,2016-08-17 08:11:02,takeoff
2016-08-17 16:32:10,2016-08-17 16:37:53,landing
2016-08-20 09:02:45,2016-08-20 09:11:38,takeoff
2016-08-20 18:47:17,2016-08-20 18:55:24,landing
2016-08-22 12:52:28,2016-08-22 12:56:20,takeoff
2016-08-22 16:00:41,2016-08-22 16:16:01,missedapproach
2016-08-22 16:56:45,2016-08-22 17:10:40,missedapproach
2016-08-22 17:52:37,2016-08-22 18:20:39,missedapproach
2016-08-22 18:44:15,2016-08-22 18:52:42,landing
2016-08-23 15:04:39,2016-08-23 15:15:42,takeoff
2016-08-23 15:43:42,2016-08-23 16:01:32,missedapproach
2016-08-23 16:40:57,2016-08-23 17:00:45,missedapproach
2016-08-23 19:29:41,2016-08-23 19:43:34,missedapproach
2016-08-23 19:51:46,2016-08-23 20:01:41,landing
2017-01-26 17:10:54,2017-01-26 17:31:12,takeoff
2017-01-27 03:30:00,2017-01-27 03:33:04,landing
2017-01-30 03:18:43,2017-01-30 03:22:44,landing
2017-02-01 20:08:16,2017-02-01 20:11:02,takeoff
2017-02-04 04:04:48,2017-02-04 04:28:46,landing
2017-02-05 20:31:27,2017-02-05 20:35:30,takeoff
2017-02-06 04:59:30,2017-02-06 05:08:35,landing
2017-02-10 18:53:26,2017-02-10 19:01:55,takeoff
2017-02-11 04:35:50,2017-02-11 04:47:32,landing
2017-02-15 08:50:28,2017-02-15 08:58:34,takeoff
2017-02-18 09:24:16,2017-02-18 09:26:38,takeoff
2017-02-19 18:54:40,2017-02-19 19:10:30,contbl
2017-02-19 23:02:20,2017-02-19 23:16:50,missedapproach
2017-02-21 18:00:26,2017-02-21 18:02:53,takeoff
2017-02-21 23:45:36,2017-02-21 23:49:45,landing
2017-10-01 16:05:09,2017-10-01 16:12:00,takeoff
2017-10-01 23:24:00,2017-10-02 00:00:00,missedapproach
2017-10-02 01:52:19,2017-10-02 02:06:32,landing
2017-10-04 17:58:18,2017-10-04 18:14:24,takeoff
2017-10-05 01:14:53,2017-10-05 01:24:44,landing
2017-10-06 18:55:19,2017-10-06 19:01:55,takeoff
2017-10-08 20:00:48,2017-10-08 20:02:24,takeoff
2017-10-11 17:56:36,2017-10-11 17:58:34,takeoff
2017-10-17 11:36:40,2017-10-17 11:53:20,contbl
2017-10-17 09:56:26,2017-10-17 10:09:07,takeoff
2017-10-20 09:17:39,2017-10-20 09:23:02,takeoff
2017-10-23 17:52:48,2017-10-23 18:07:12,contbl
2017-10-23 18:53:17,2017-10-23 19:00:25,landing
2017-10-25 14:01:05,2017-10-25 14:06:43,takeoff
2017-10-25 21:57:30,2017-10-25 22:02:00,missedapproach
2017-10-25 23:34:05,2017-10-25 23:37:15,landing
2017-10-27 18:23:36,2017-10-27 18:27:22,takeoff
2017-10-27 23:39:07,2017-10-27 23:48:29,contbl
2017-10-28 00:41:46,2017-10-28 00:54:13,landing
2018-04-24 14:44:05,2018-04-24 14:52:48,takeoff
2018-04-25 00:04:19,2018-04-25 00:16:02,landing
2018-04-27 16:02:58,2018-04-27 16:07:41,takeoff
2018-04-28 00:33:07,2018-04-28 00:38:53,missedapproach
2018-04-29 17:54:55,2018-04-29 18:01:26,takeoff
2018-04-30 01:58:05,2018-04-30 02:03:41,landing
2018-05-01 18:54:27,2018-05-01 19:00:29,takeoff
2018-05-02 03:03:36,2018-05-02 03:07:11,landing
2018-05-03 20:57:58,2018-05-03 21:00:00,takeoff
2018-05-04 04:04:50,2018-05-04 04:22:05,contbl
2018-05-04 04:48:00,2018-05-04 04:52:34,landing
2018-05-07 06:28:05,2018-05-07 06:30:45,landing
2018-05-09 11:52:15,2018-05-09 11:54:14,takeoff
2018-05-09 22:36:29,2018-05-09 22:38:44,landing
2018-05-12 11:27:37,2018-05-12 11:31:12,takeoff
2018-05-12 21:14:24,2018-05-12 21:27:51,landing
2018-05-14 10:27:18,2018-05-14 10:29:17,takeoff
2018-05-14 19:39:22,2018-05-14 19:53:12,landing
2018-05-17 09:27:49,2018-05-17 09:32:24,takeoff
2018-05-19 14:01:25,2018-05-19 14:08:10,takeoff
2018-05-20 00:37:26,2018-05-20 00:40:33,landing
2018-05-21 16:46:38,2018-05-21 16:50:53,takeoff
2018-05-21 23:31:12,2018-05-21 23:38:55,landing
